site,ordinal,local_exact,counter,field,row_line,role,caption_line,geometry_top_line,geometry_top_valid,geometry_top_status,mean,std,gradient,blank_mean,blank_noise,blank_gradient,mean_gate,spread_gate,gradient_gate,active_by_level,active_by_spread,active_by_gradient,active,cea608_valid
minute_35_00,62900,0,1910,1,25,caption_plus_1,24,26,1,measured,101.040627,45.113071,1.893584,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62900,0,1910,1,26,caption_plus_2,24,26,1,measured,140.318756,68.488647,1.611894,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62900,0,1910,1,27,caption_plus_3,24,26,1,measured,129.273438,64.955673,1.726135,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62900,0,1910,2,286,line_286,-1,288,1,measured,43.946877,44.972389,1.718310,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62900,0,1910,2,287,line_287,-1,288,1,measured,24.059376,36.922886,2.444444,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62900,0,1910,2,288,line_288,-1,288,1,measured,141.998444,61.996510,1.597809,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62901,1,1911,1,25,caption_plus_1,24,23,0,vbi_ambiguous,98.765625,48.818073,1.724570,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62901,1,1911,1,26,caption_plus_2,24,23,0,vbi_ambiguous,127.485939,67.533302,1.658842,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62901,1,1911,1,27,caption_plus_3,24,23,0,vbi_ambiguous,125.487503,66.582657,1.798122,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62901,1,1911,2,286,line_286,-1,288,1,measured,45.953125,45.701317,1.816901,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62901,1,1911,2,287,line_287,-1,288,1,measured,29.745312,42.884537,3.220657,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,1,1,0
minute_35_00,62901,1,1911,2,288,line_288,-1,288,1,measured,135.923431,64.963249,1.902973,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62902,2,1912,1,25,caption_plus_1,24,26,1,measured,88.745316,44.371891,1.973396,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62902,2,1912,1,26,caption_plus_2,24,26,1,measured,121.051559,68.766197,1.899843,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62902,2,1912,1,27,caption_plus_3,24,26,1,measured,107.181252,62.350880,1.622848,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62902,2,1912,2,286,line_286,-1,288,1,measured,44.201561,45.754936,1.749609,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62902,2,1912,2,287,line_287,-1,288,1,measured,27.670313,43.767632,3.228482,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,1,1,0
minute_35_00,62902,2,1912,2,288,line_288,-1,288,1,measured,118.796875,61.190502,1.805947,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62903,3,1913,1,25,caption_plus_1,24,26,1,measured,87.306252,45.659576,1.682316,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62903,3,1913,1,26,caption_plus_2,24,26,1,measured,110.026566,64.677956,1.683881,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62903,3,1913,1,27,caption_plus_3,24,26,1,measured,109.159378,65.414040,1.669797,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62903,3,1913,2,286,line_286,-1,288,1,measured,45.987499,46.564800,1.776213,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62903,3,1913,2,287,line_287,-1,288,1,measured,30.432812,45.279362,3.133020,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,1,1,0
minute_35_00,62903,3,1913,2,288,line_288,-1,288,1,measured,119.001564,62.686062,1.683881,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62904,4,1914,1,24,caption_plus_1,23,25,1,measured,87.500000,45.909218,1.732394,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62904,4,1914,1,25,caption_plus_2,23,25,1,measured,117.610939,69.940269,1.748044,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62904,4,1914,1,26,caption_plus_3,23,25,1,measured,108.762497,62.288616,1.830986,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62904,4,1914,2,286,line_286,-1,287,1,measured,46.110939,46.739357,1.694836,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62904,4,1914,2,287,line_287,-1,287,1,measured,68.251564,62.286892,7.446009,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,1,1,0
minute_35_00,62904,4,1914,2,288,line_288,-1,287,1,measured,113.531250,66.368309,2.147105,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62905,5,1915,1,25,caption_plus_1,24,26,1,measured,94.614059,44.575703,1.863850,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62905,5,1915,1,26,caption_plus_2,24,26,1,measured,119.376564,62.065769,1.962441,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62905,5,1915,1,27,caption_plus_3,24,26,1,measured,122.396873,60.180447,2.233177,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62905,5,1915,2,286,line_286,-1,287,1,measured,45.807812,47.408813,1.732394,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62905,5,1915,2,287,line_287,-1,287,1,measured,72.534378,62.334496,7.547731,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,1,1,0
minute_35_00,62905,5,1915,2,288,line_288,-1,287,1,measured,123.785934,63.914539,2.391236,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62906,6,1916,1,24,caption_plus_1,23,25,1,measured,114.368752,47.151535,2.178404,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62906,6,1916,1,25,caption_plus_2,23,25,1,measured,156.885941,66.911095,2.242567,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62906,6,1916,1,26,caption_plus_3,23,25,1,measured,145.679688,64.878845,2.142410,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62906,6,1916,2,286,line_286,-1,287,1,measured,45.971874,46.396343,1.845070,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
minute_35_00,62906,6,1916,2,287,line_287,-1,287,1,measured,72.607811,63.250301,7.793427,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,1,1,0
minute_35_00,62906,6,1916,2,288,line_288,-1,287,1,measured,153.218750,66.780930,2.663537,1.000000,0.250000,1.000000,2.500000,2.000000,3.000000,1,1,0,1,0
