ordinal,local_exact,counter,event,no_placement_expected,f1_blank_mean,f1_blank_noise,f1_active_top_line,f1_recorded_top_line,f1_recorded_top_valid,f1_picture_top_line,f1_picture_top_valid,f1_black_band_start_line,f1_black_band_picture_start_line,f1_black_band_valid,f1_top_line,f1_top_valid,f1_top_status,f1_bottom_line,f1_bottom_valid,f1_height,f1_height_valid,f1_bottom_h_shift_px,f1_bottom_h_mad,f1_bottom_h_second_mad,f1_bottom_h_ratio,f1_last_recorded_line,f1_last_recorded_valid,f1_last_recorded_chroma_deviation,f1_regenerated_chroma_gate,f1_flat_raster,f1_body_horizontal_p90,f1_body_vertical_p90,f1_flat_horizontal_gate,f1_flat_vertical_gate,f1_cc_waveform_lines,f1_cc_waveform_scores,f1_cc_start_scores,f1_cc_cell_ratios,f1_cc_parity_lines,f1_line21_lines,f1_line21_bytes,f1_line21_unique_line,f1_line21_implied_top,f1_gap_line,f1_gap_valid,f1_gap_implied_top,f1_body_shift,f1_body_mad,f1_body_second_mad,f1_body_ratio,f1_body_unique,f1_static_fraction,f1_band_shifts,f1_band_mads,f1_repeated,f2_blank_mean,f2_blank_noise,f2_active_top_line,f2_recorded_top_line,f2_recorded_top_valid,f2_picture_top_line,f2_picture_top_valid,f2_black_band_start_line,f2_black_band_picture_start_line,f2_black_band_valid,f2_top_line,f2_top_valid,f2_top_status,f2_bottom_line,f2_bottom_valid,f2_height,f2_height_valid,f2_bottom_h_shift_px,f2_bottom_h_mad,f2_bottom_h_second_mad,f2_bottom_h_ratio,f2_last_recorded_line,f2_last_recorded_valid,f2_last_recorded_chroma_deviation,f2_regenerated_chroma_gate,f2_flat_raster,f2_body_horizontal_p90,f2_body_vertical_p90,f2_flat_horizontal_gate,f2_flat_vertical_gate,f2_cc_waveform_lines,f2_cc_waveform_scores,f2_cc_start_scores,f2_cc_cell_ratios,f2_cc_parity_lines,f2_line21_lines,f2_line21_bytes,f2_line21_unique_line,f2_line21_implied_top,f2_gap_line,f2_gap_valid,f2_gap_implied_top,f2_body_shift,f2_body_mad,f2_body_second_mad,f2_body_ratio,f2_body_unique,f2_static_fraction,f2_band_shifts,f2_band_mads,f2_repeated,comb_crop_f1_line,comb_crop_f2_line,comb_best_shift,comb_best_energy,comb_second_energy,comb_ratio,comb_static_fraction,comb_valid
0,0,6253,Program,0,1.0,0.25,24,24,1,24,1,-1,-1,0,24,1,measured,263,1,240,1,-25,11.453536033630371,11.453612327575684,0.9999933388748343,263,1,1.8486111164093018,0.6805555701255799,0,11.5,10.375,1.75,1.75,22,0.290266,0.700980,1.887755,22,22,8080,22,24,-1,0,-1,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,1.0,0.25,286,286,1,287,1,286,287,1,287,1,measured,525,1,239,1,-32,11.968385696411133,11.971552848815918,0.9997354434763157,525,1,1.9916666746139526,0.6888888955116272,0,11.5,10.5,1.75,1.75,284,0.288866,0.705882,1.843137,284,284,8080,-1,-1,286,1,287,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,23,286,-128,nan,nan,nan,0.0,0
1,1,6254,Program,0,1.0,0.25,24,24,1,24,1,-1,-1,0,24,1,measured,263,1,240,1,-32,11.16430950164795,11.165282249450684,0.9999128774552222,263,1,1.5944443941116333,0.6708333373069764,0,11.375,10.75,1.75,1.75,22,0.289916,0.705882,1.896907,22,22,8080,22,24,-1,0,-1,0,0.8793261647224426,4.162814617156982,0.2112335632478833,1,0.815,0 0 0,1.304 0.505 0.485,0,1.0,0.25,286,286,1,287,1,286,287,1,287,1,measured,525,1,239,1,-32,12.377911567687988,12.382060050964355,0.9996649601714664,525,1,1.976388931274414,0.6805555701255799,0,11.375,10.375,1.75,1.75,284,0.290266,0.705882,0.908397,284,284,8080,-1,-1,286,1,287,0,0.9609765410423279,4.246707916259766,0.22628741132936117,1,0.716015625,0 0 0,1.238 0.710 0.784,0,23,286,-2,2.59213924407959,2.787140369415283,0.9300354128283095,0.5205543933054393,1
4,2,6257,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,10.859400749206543,10.863579750061035,0.999615320092397,262,1,2.0208334922790527,0.6680555522441864,0,11.25,9.75,1.75,1.75,21,0.296786,0.720000,1.860000,21,21,8080,-1,-1,23,1,24,-3,2.6752686500549316,4.797211170196533,0.5576716461171191,1,0.7055732484076433,-3 -3 -3,4.324 1.244 1.171,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-32,11.02599811553955,11.028239250183105,0.999796782188642,525,1,1.6875,0.6694444298744202,0,11.125,10.0,1.75,1.75,284,0.298214,0.730000,1.847619,284,284,8080,-1,-1,-1,0,-1,2,2.1383702754974365,4.420666217803955,0.48372126963245604,1,0.6483386075949367,2 2 2,3.557 0.971 1.125,0,23,286,0,0.881186306476593,0.9387657046318054,0.9386647830538337,0.4517782426778243,1
6,3,6259,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,11.23336124420166,11.235050201416016,0.9998496707015921,262,1,1.8833332061767578,0.6666666746139527,0,11.25,9.75,1.75,1.75,21,0.300292,0.750000,0.879699,21,21,8080,-1,-1,23,1,24,0,0.632373034954071,3.9639053344726562,0.1595328297713244,1,0.818671875,0 0 0,0.665 0.607 0.567,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-32,10.780989646911621,10.781768798828125,0.9999277343141889,525,1,1.7722222805023193,0.6791666626930237,0,11.125,10.375,1.75,1.75,284,0.295357,0.720000,0.769784,284,284,8080,-1,-1,-1,0,-1,0,0.7358593940734863,3.9589524269104004,0.1858722497071674,1,0.801953125,0 0 0,1.000 0.527 0.505,0,23,286,2,2.302474021911621,2.3985912799835205,0.9599276213192272,0.5884937238493724,1
7,4,6260,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,11.573419570922852,11.573920249938965,0.999956740758075,262,1,1.8791667222976685,0.6819444179534913,0,11.375,9.875,1.75,1.75,21,0.298834,0.729592,1.928571,21,21,8080,-1,-1,23,1,24,0,0.6485742330551147,3.976454496383667,0.16310364764514515,1,0.809140625,0 0 0,0.658 0.641 0.670,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-22,10.992634773254395,10.992827415466309,0.9999824756448333,525,1,1.7319445610046387,0.6680555522441864,0,11.125,10.375,1.75,1.75,284,0.295357,0.715000,2.043011,284,284,8080,-1,-1,-1,0,-1,0,0.7479687333106995,4.015988826751709,0.1862477127247603,1,0.7834375,0 0 0,0.950 0.583 0.610,0,23,286,2,2.667846918106079,2.7243616580963135,0.9792557864620203,0.5197698744769874,1
8,5,6261,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,11.780989646911621,11.781976699829102,0.9999162234875668,262,1,1.855555534362793,0.6805555701255799,0,11.375,9.875,1.75,1.75,21,0.295000,0.715000,0.961240,21,21,8080,-1,-1,23,1,24,0,0.6984667778015137,4.031230449676514,0.1732639169406855,1,0.782578125,0 0 0,0.646 0.756 0.564,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-25,10.997326850891113,10.997331619262695,0.9999995664064932,525,1,1.7902777194976807,0.675,0,11.25,10.5,1.75,1.75,284,0.289216,0.705882,2.451220,284,284,8080,-1,-1,-1,0,-1,0,0.6959081888198853,4.03485631942749,0.17247409417508783,1,0.802109375,0 0 0,0.899 0.528 0.541,0,23,286,2,2.380023241043091,2.473205089569092,0.9623234446188867,0.5563807531380753,1
9,6,6262,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,11.658485412597656,11.659468650817871,0.9999156704092046,262,1,1.9152777194976807,0.6763888776302338,0,11.5,10.0,1.75,1.75,21,0.296429,0.725000,2.202381,21,21,8080,-1,-1,23,1,24,0,0.5795605182647705,4.007026195526123,0.14463606924053915,1,0.854375,0 0 0,0.591 0.571 0.559,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-29,10.730752944946289,10.730928421020508,0.9999836476335193,525,1,2.1666665077209473,0.6652777671813965,0,11.25,10.625,1.75,1.75,284,0.287815,0.705882,1.989474,284,284,8080,-1,-1,-1,0,-1,0,0.637451171875,4.07391881942749,0.1564712504419961,1,0.83546875,0 0 0,0.766 0.537 0.483,0,23,286,2,2.533562660217285,2.5751233100891113,0.9838607146659754,0.6473849372384938,1
10,7,6263,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,12.006239891052246,12.007682800292969,0.9998798344972364,262,1,1.7916667461395264,0.6888888955116272,0,11.5,10.0,1.75,1.75,21,0.296786,0.640000,0.532995,21,21,8080,-1,-1,23,1,24,0,0.5823144316673279,4.0194478034973145,0.1448742364960324,1,0.853046875,0 0 0,0.573 0.586 0.563,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-30,11.164386749267578,11.164451599121094,0.9999941913982124,525,1,2.131944417953491,0.6722222149372101,0,11.25,10.75,1.75,1.75,284,0.290616,0.700980,0.761905,284,284,8080,-1,-1,-1,0,-1,0,0.6041015386581421,4.090644836425781,0.14767880439749406,1,0.851328125,0 0 0,0.774 0.451 0.488,0,23,286,2,2.5568249225616455,2.6333394050598145,0.9709439344008788,0.6583682008368201,1
11,8,6264,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,12.078411102294922,12.079733848571777,0.9998904987234456,262,1,1.9708333015441895,0.6791666626930237,0,11.5,9.875,1.75,1.75,21,0.289216,0.700980,1.890000,21,21,8080,-1,-1,23,1,24,0,0.641406238079071,4.030149459838867,0.159151973015094,1,0.818359375,0 0 0,0.674 0.616 0.591,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-32,11.158902168273926,11.159260749816895,0.9999678669088385,525,1,1.918055534362793,0.6666666746139527,0,11.125,10.25,1.75,1.75,284,0.290266,0.710784,1.747573,284,284,8080,-1,-1,-1,0,-1,0,0.7181738018989563,4.074901580810547,0.17624322640845302,1,0.852265625,0 0 0,1.024 0.468 0.480,0,23,286,2,2.527621030807495,2.6158995628356934,0.9662530881221975,0.6116108786610879,1
12,9,6265,Program,0,1.0,0.25,23,23,1,24,1,23,24,1,24,1,measured,262,1,239,1,-32,12.043261528015137,12.04651165008545,0.9997302022224592,262,1,1.9041666984558105,0.6791666626930237,0,11.375,10.0,1.75,1.75,21,0.287815,0.715686,1.589286,21,21,8080,-1,-1,23,1,24,0,0.7388476729393005,4.0116353034973145,0.18417618179179412,1,0.79453125,0 0 0,0.880 0.621 0.744,0,1.0,0.25,286,286,1,286,1,-1,-1,0,286,1,measured,525,1,240,1,-26,11.339991569519043,11.340049743652344,0.9999948700283847,525,1,1.9847222566604614,0.6805555701255799,0,11.25,10.625,1.75,1.75,284,0.281937,0.687500,2.181818,284,284,8080,-1,-1,-1,0,-1,0,0.7665722370147705,4.132920742034912,0.18547953974005704,1,0.81625,0 0 0,1.076 0.505 0.534,0,23,286,2,2.5994300842285156,2.730494737625122,0.9519996681954416,0.5116108786610879,1
