capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
composite,212,6254,1,24,24,262,262,0,0,censored,censored,L24=26.930/1.612 L261=22.634/1.260 L262=16.072/6.420 L263=10.963/0.876 L264=1.400/0.521
composite,212,6254,2,286,286,524,524,0,0,inferred,inferred,L286=5.280/1.009 L523=22.842/1.788 L524=16.728/6.792 L525=10.203/0.892 L526=1.372/0.496
composite,215,6257,1,24,24,262,261,0,-1,censored,censored,L24=25.819/1.088 L260=21.425/1.456 L261=16.272/6.101 L262=10.436/0.930 L263=1.395/0.489
composite,215,6257,2,286,286,524,524,0,0,inferred,inferred,L286=25.983/1.385 L523=22.467/1.106 L524=16.541/6.204 L525=10.936/0.854 L526=1.384/0.505
composite,217,6259,1,24,24,261,261,0,0,censored,censored,L24=25.773/1.103 L260=21.619/1.574 L261=16.414/6.277 L262=10.184/0.882 L263=1.381/0.492
composite,217,6259,2,286,286,524,524,0,0,inferred,inferred,L286=25.609/1.350 L523=22.295/1.171 L524=16.516/6.133 L525=10.933/0.842 L526=1.386/0.506
composite,218,6260,1,24,24,261,261,0,0,censored,censored,L24=25.548/1.101 L260=22.230/1.480 L261=16.834/6.366 L262=10.214/0.860 L263=1.369/0.492
composite,218,6260,2,286,286,524,524,0,0,inferred,inferred,L286=26.147/1.403 L523=22.453/1.228 L524=16.692/6.074 L525=11.083/0.828 L526=1.366/0.501
composite,219,6261,1,24,24,261,261,0,0,censored,censored,L24=25.900/1.133 L260=22.216/1.645 L261=16.741/6.631 L262=10.075/0.841 L263=1.386/0.490
composite,219,6261,2,286,286,524,524,0,0,inferred,inferred,L286=26.109/1.321 L523=22.436/1.284 L524=16.847/6.159 L525=11.075/0.839 L526=1.384/0.505
composite,220,6262,1,24,24,261,261,0,0,censored,censored,L24=25.648/1.171 L260=22.155/1.733 L261=16.769/6.623 L262=10.216/0.937 L263=1.384/0.499
composite,220,6262,2,286,286,524,524,0,0,inferred,inferred,L286=26.323/1.484 L523=22.367/1.308 L524=16.980/6.151 L525=11.306/0.812 L526=1.380/0.504
composite,221,6263,1,24,24,261,261,0,0,censored,censored,L24=25.830/1.134 L260=22.327/1.710 L261=16.819/6.666 L262=10.033/0.848 L263=1.373/0.487
composite,221,6263,2,286,286,524,524,0,0,inferred,inferred,L286=26.714/1.579 L523=22.597/1.306 L524=16.909/6.128 L525=11.050/0.793 L526=1.372/0.493
composite,222,6264,1,24,24,261,261,0,0,censored,censored,L24=25.627/1.162 L260=22.709/1.624 L261=17.008/6.739 L262=10.272/0.897 L263=1.370/0.486
composite,222,6264,2,286,286,524,524,0,0,inferred,inferred,L286=26.756/1.462 L523=22.908/1.350 L524=17.170/6.371 L525=11.328/0.860 L526=1.403/0.536
composite,223,6265,1,24,24,261,261,0,0,censored,censored,L24=25.989/1.049 L260=22.856/1.619 L261=17.308/6.898 L262=10.522/0.982 L263=1.394/0.492
composite,223,6265,2,286,286,524,524,0,0,inferred,inferred,L286=27.247/1.453 L523=23.495/1.421 L524=17.691/6.261 L525=11.727/0.901 L526=1.372/0.502
composite,224,6266,1,24,24,261,261,0,0,censored,censored,L24=26.700/1.064 L260=23.167/1.498 L261=17.375/6.920 L262=10.745/0.932 L263=1.358/0.489
composite,224,6266,2,286,286,524,524,0,0,inferred,inferred,L286=27.514/1.599 L523=23.420/1.368 L524=17.441/6.306 L525=11.516/0.889 L526=1.386/0.518
composite,225,6267,1,24,24,261,261,0,0,censored,censored,L24=26.339/1.027 L260=22.875/1.637 L261=16.917/6.618 L262=10.711/0.857 L263=1.386/0.493
composite,225,6267,2,286,286,524,524,0,0,inferred,inferred,L286=27.017/1.649 L523=23.312/1.347 L524=20.363/4.840 L525=11.613/0.842 L526=1.395/0.508
composite,226,6268,1,24,24,261,261,0,0,censored,censored,L24=26.636/1.425 L260=22.731/1.345 L261=22.031/1.929 L262=15.363/5.612 L263=1.391/0.491
composite,226,6268,2,286,286,524,524,0,0,inferred,inferred,L286=8.662/3.379 L523=23.580/1.824 L524=23.181/2.277 L525=20.442/4.678 L526=1.408/0.510
composite,227,6269,1,24,25,261,261,1,0,censored,censored,L25=21.831/18.186 L260=23.137/1.152 L261=22.177/1.540 L262=21.548/1.416 L263=1.378/0.491 L264=1.395/0.489
composite,227,6269,2,286,286,524,525,0,1,inferred,inferred,L286=22.773/8.752 L524=23.528/1.506 L525=23.816/1.227 L526=1.383/0.505
composite,228,6270,1,25,25,261,262,0,1,censored,censored,L25=26.783/8.985 L261=24.323/1.288 L262=23.916/1.339 L263=1.380/0.501 L264=1.386/0.487
composite,228,6270,2,286,-1,525,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L286=12.559/2.057 L525=20.186/1.507
composite,229,6271,1,25,-1,262,-1,unmeasurable,unmeasurable,censored,unmeasurable,L23=19.812/12.692 L262=19.284/1.300
composite,229,6271,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=19.994/11.766 L525=16.544/1.993
composite,230,6272,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=9.136/7.810 L262=17.833/1.141
composite,230,6272,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.819/12.253 L525=15.403/2.769
composite,231,6273,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=19.055/12.293 L262=15.241/2.707
composite,231,6273,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.894/12.279 L525=15.534/2.683
composite,232,6274,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=33.455/15.027 L262=19.961/0.959
composite,232,6274,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=47.731/3.719 L525=17.341/1.811
