capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
sp_vstab_off,1,172,1,23,23,260,260,0,0,observed,observed,L23=112.834/28.973 L259=103.173/40.571 L260=85.142/41.620 L262=71.722/56.117 L263=1.391/0.534
sp_vstab_off,1,172,2,286,286,523,523,0,0,observed,inferred,L286=115.484/28.332 L522=101.995/41.163 L523=96.778/41.585 L525=97.678/52.958 L526=1.381/0.532
sp_vstab_off,2,173,1,23,23,260,260,0,0,observed,observed,L23=115.369/29.167 L259=101.305/40.932 L260=93.645/39.637 L262=74.847/56.829 L263=1.384/0.493
sp_vstab_off,2,173,2,286,286,523,524,0,1,inferred,observed,L286=115.955/28.223 L523=101.720/46.176 L524=103.095/47.679 L525=79.241/58.866 L526=1.373/0.530
sp_vstab_off,3,174,1,23,23,260,260,0,0,observed,observed,L23=114.492/29.220 L259=101.461/40.522 L260=92.352/43.734 L262=71.506/53.698 L263=1.394/0.504
sp_vstab_off,3,174,2,286,286,524,524,0,0,observed,inferred,L286=115.084/26.256 L523=100.741/41.003 L524=95.378/50.885 L525=95.784/53.861 L526=1.380/0.517
sp_vstab_off,4,175,1,23,23,260,260,0,0,observed,observed,L23=114.936/28.418 L259=101.153/41.216 L260=88.984/40.504 L262=75.289/53.866 L263=1.384/0.499
sp_vstab_off,4,175,2,286,286,524,523,0,-1,inferred,observed,L286=116.169/28.169 L522=98.958/40.553 L523=108.930/47.371 L525=75.730/56.981 L526=1.391/0.519
sp_vstab_off,5,176,1,23,23,260,260,0,0,observed,observed,L23=112.145/26.993 L259=103.392/40.281 L260=93.103/39.351 L262=70.811/54.600 L263=1.381/0.517
sp_vstab_off,5,176,2,286,286,523,523,0,0,observed,observed,L286=115.311/28.021 L522=98.194/40.663 L523=105.933/44.793 L525=97.856/55.435 L526=1.381/0.505
sp_vstab_off,6,177,1,23,23,260,260,0,0,observed,observed,L23=111.042/28.146 L259=101.931/40.654 L260=89.272/40.689 L262=74.644/57.718 L263=1.383/0.508
sp_vstab_off,6,177,2,286,286,523,523,0,0,observed,observed,L286=113.502/27.862 L522=102.366/39.853 L523=107.306/44.668 L525=77.708/58.357 L526=1.373/0.530
sp_vstab_off,7,178,1,23,23,260,260,0,0,observed,observed,L23=111.736/27.491 L259=102.914/39.990 L260=92.134/38.837 L262=74.586/55.944 L263=1.386/0.499
sp_vstab_off,7,178,2,286,286,523,523,0,0,observed,observed,L286=114.267/27.657 L522=100.997/40.171 L523=94.167/37.409 L525=82.583/58.730 L526=1.386/0.518
sp_vstab_off,8,179,1,23,23,260,260,0,0,observed,observed,L23=110.695/28.917 L259=100.555/40.669 L260=88.205/40.347 L262=75.300/57.035 L263=1.386/0.506
sp_vstab_off,8,179,2,286,286,523,523,0,0,observed,observed,L286=111.725/28.040 L522=97.397/40.639 L523=106.945/46.257 L525=75.002/55.434 L526=1.387/0.533
sp_vstab_off,9,180,1,23,23,260,260,0,0,observed,observed,L23=110.828/27.926 L259=98.127/39.399 L260=95.287/41.677 L262=69.520/55.766 L263=1.392/0.491
