capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
w_2100s,1,1911,1,25,25,261,261,0,0,censored,censored,L25=98.766/48.818 L260=28.050/2.164 L261=19.106/8.372 L262=12.764/0.897 L263=1.381/0.498 L264=1.387/0.487
w_2100s,1,1911,2,288,288,523,523,0,0,censored,censored,L288=135.923/64.963 L522=26.978/1.868 L523=12.891/0.820 L525=12.159/0.752 L526=1.383/0.517 L527=16.000/0.000
w_2100s,2,1912,1,25,25,261,261,0,0,censored,censored,L25=88.745/44.372 L260=26.439/1.774 L261=18.361/7.254 L262=12.534/0.864 L263=1.389/0.491 L264=1.373/0.484
w_2100s,2,1912,2,288,288,523,523,0,0,censored,censored,L288=118.797/61.191 L522=25.831/1.656 L523=12.753/0.919 L525=12.411/0.765 L526=1.372/0.502 L527=16.000/0.000
w_2100s,3,1913,1,25,25,261,261,0,0,censored,censored,L25=87.306/45.660 L260=26.188/1.446 L261=17.988/7.101 L262=12.584/0.832 L263=1.384/0.496 L264=1.387/0.487
w_2100s,3,1913,2,288,288,523,523,0,0,censored,censored,L288=119.002/62.686 L522=26.523/1.754 L523=12.731/0.840 L525=12.073/0.766 L526=1.377/0.494 L527=16.000/0.000
w_2100s,4,1914,1,25,24,261,260,-1,-1,censored,censored,L24=87.500/45.909 L259=27.084/1.732 L260=18.816/7.617 L262=12.025/0.786 L263=1.398/0.502
w_2100s,4,1914,2,288,288,523,523,0,0,censored,censored,L288=113.531/66.368 L522=26.431/1.587 L523=12.695/0.882 L525=11.941/0.818 L526=1.375/0.515 L527=16.000/0.000
w_2100s,5,1915,1,24,25,260,261,1,1,censored,censored,L25=94.614/44.576 L260=26.736/1.617 L261=18.883/7.520 L262=12.569/0.885 L263=1.369/0.502 L264=1.380/0.485
w_2100s,5,1915,2,288,288,523,523,0,0,censored,censored,L288=123.786/63.915 L522=26.767/1.376 L523=12.756/0.882 L525=12.377/0.861 L526=1.364/0.500 L527=16.000/0.000
w_2100s,6,1916,1,25,24,261,260,-1,-1,censored,censored,L24=114.369/47.152 L259=28.217/5.480 L260=18.536/7.238 L262=11.941/0.812 L263=1.384/0.490
w_2100s,6,1916,2,288,288,523,523,0,0,censored,censored,L288=153.219/66.781 L522=27.875/5.947 L523=13.208/0.864 L525=12.533/0.800 L526=1.364/0.513 L527=16.000/0.000
w_2100s,7,1917,1,24,24,260,260,0,0,censored,censored,L24=105.809/50.773 L259=30.491/9.552 L260=18.317/6.666 L262=11.781/0.747 L263=1.397/0.499
w_2100s,7,1917,2,288,288,523,522,0,-1,censored,censored,L288=146.217/69.844 L521=29.075/9.085 L522=29.783/10.164 L525=12.117/0.797 L526=1.387/0.506 L527=16.000/0.000
w_2100s,8,1918,1,24,24,260,260,0,0,censored,censored,L24=114.895/54.226 L259=35.642/17.322 L260=18.212/7.022 L262=11.717/0.705 L263=1.378/0.488
w_2100s,8,1918,2,288,288,522,522,0,0,censored,censored,L288=154.955/74.954 L521=34.241/16.226 L522=34.212/17.637 L525=12.041/0.819 L526=1.405/0.510 L527=16.000/0.000
w_2100s,9,1919,1,24,25,260,261,1,1,censored,censored,L25=117.453/57.886 L260=40.683/24.113 L261=17.627/6.648 L262=12.470/0.862 L263=1.387/0.490 L264=1.373/0.484
