capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_onset_line,switch_onset_line,previous_switch_line,switch_line,dp,ds,previous_reference_changed,previous_change_kind,raw_previous_rows,raw_rows
w_300s,1,13501,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=118.341/28.133 L260=100.267/40.608 L261=39.594/52.535 L262=11.364/0.683,L24=118.642/29.499 L260=102.200/41.021 L261=38.355/51.435 L262=11.267/0.807
w_300s,1,13501,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=116.028/26.527 L521=103.808/40.714 L522=86.261/43.486 L525=10.169/0.842,L286=117.569/26.376 L521=101.438/40.911 L522=86.464/42.656 L525=10.463/0.749
w_300s,2,13502,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=118.642/29.499 L260=102.200/41.021 L261=38.355/51.435 L262=11.267/0.807,L24=119.289/27.243 L260=101.492/40.808 L261=37.378/51.365 L262=11.202/0.966
w_300s,2,13502,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=117.569/26.376 L521=101.438/40.911 L522=86.464/42.656 L525=10.463/0.749,L286=116.016/27.389 L521=100.834/40.278 L522=83.077/44.002 L525=10.461/0.874
w_300s,3,13503,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=119.289/27.243 L260=101.492/40.808 L261=37.378/51.365 L262=11.202/0.966,L24=118.742/25.948 L260=101.623/41.670 L261=37.630/51.410 L262=10.956/0.939
w_300s,3,13503,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=116.016/27.389 L521=100.834/40.278 L522=83.077/44.002 L525=10.461/0.874,L286=115.500/27.648 L521=100.809/41.592 L522=78.616/44.571 L525=10.588/0.772
w_300s,4,13504,1,24,25,261,262,261,none,1,none,no,no_previous_change,L24=118.742/25.948 L260=101.623/41.670 L261=37.630/51.410 L262=10.956/0.939,L25=117.845/28.554 L261=98.889/40.469 L262=36.263/50.797
w_300s,4,13504,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=115.500/27.648 L521=100.809/41.592 L522=78.616/44.571 L525=10.588/0.772,L286=113.520/26.680 L521=103.950/40.591 L522=87.950/44.045 L525=10.806/0.903
w_300s,5,13505,1,25,24,262,261,none,261,-1,unmeasurable,no,no_previous_change,L25=117.845/28.554 L261=98.889/40.469 L262=36.263/50.797,L24=116.634/28.119 L260=100.912/40.734 L261=37.962/51.678 L262=11.241/0.847
w_300s,5,13505,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=113.520/26.680 L521=103.950/40.591 L522=87.950/44.045 L525=10.806/0.903,L286=113.820/26.765 L521=101.683/40.426 L522=86.995/43.286 L525=10.931/0.841
w_300s,6,13506,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=116.634/28.119 L260=100.912/40.734 L261=37.962/51.678 L262=11.241/0.847,L24=116.450/27.821 L260=102.175/39.996 L261=39.228/51.608 L262=11.083/0.841
w_300s,6,13506,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=113.820/26.765 L521=101.683/40.426 L522=86.995/43.286 L525=10.931/0.841,L286=111.497/27.648 L521=103.208/40.206 L522=89.688/43.446 L525=10.916/0.832
w_300s,7,13507,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=116.450/27.821 L260=102.175/39.996 L261=39.228/51.608 L262=11.083/0.841,L24=117.398/28.236 L260=101.177/40.067 L261=39.402/52.094 L262=11.169/0.838
w_300s,7,13507,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=111.497/27.648 L521=103.208/40.206 L522=89.688/43.446 L525=10.916/0.832,L286=110.002/26.834 L521=101.112/39.796 L522=86.500/42.525 L525=10.770/0.772
w_300s,8,13508,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=117.398/28.236 L260=101.177/40.067 L261=39.402/52.094 L262=11.169/0.838,L24=114.055/27.134 L260=99.158/41.049 L261=41.748/52.301 L262=11.017/0.939
w_300s,8,13508,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=110.002/26.834 L521=101.112/39.796 L522=86.500/42.525 L525=10.770/0.772,L286=108.541/27.826 L521=98.655/38.932 L522=90.173/41.530 L525=10.620/0.767
w_300s,9,13509,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=114.055/27.134 L260=99.158/41.049 L261=41.748/52.301 L262=11.017/0.939,L24=111.700/27.220 L260=99.139/39.306 L261=40.683/51.789 L262=11.173/0.960
w_300s,9,13509,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=108.541/27.826 L521=98.655/38.932 L522=90.173/41.530 L525=10.620/0.767,L286=108.045/27.546 L521=100.048/40.194 L522=89.081/42.070 L525=10.583/0.817
w_300s,10,13510,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=111.700/27.220 L260=99.139/39.306 L261=40.683/51.789 L262=11.173/0.960,L24=112.305/26.496 L260=98.153/40.876 L261=41.433/52.260 L262=11.197/0.902
w_300s,10,13510,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=108.045/27.546 L521=100.048/40.194 L522=89.081/42.070 L525=10.583/0.817,L286=108.144/28.211 L521=100.923/39.636 L522=90.061/41.603 L525=10.581/0.798
