capture,ordinal,counter,field,picture_top_line,bottom_line,hs_partial_line,last_recorded_line,review
w_300s,4,13504,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,39,13539,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,41,13541,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,45,13545,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,55,13555,2,286,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,59,13559,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,77,13577,1,23,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,78,13578,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,84,13584,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,87,13587,2,286,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,102,13602,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,103,13603,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,104,13604,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,105,13605,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,121,13621,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,123,13623,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,124,13624,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,125,13625,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,138,13638,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,139,13639,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,144,13644,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,147,13647,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,149,13649,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,150,13650,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,157,13657,1,24,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,160,13660,1,24,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,163,13663,1,24,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,164,13664,1,24,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,165,13665,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,166,13666,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,167,13667,1,24,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,170,13670,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,172,13672,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,178,13678,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,183,13683,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,186,13686,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,213,13713,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,218,13718,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,219,13719,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,223,13723,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,224,13724,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,226,13726,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,226,13726,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,229,13729,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,231,13731,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,232,13732,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,233,13733,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,234,13734,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,237,13737,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,239,13739,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,242,13742,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,243,13743,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,244,13744,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,247,13747,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,248,13748,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,251,13751,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,254,13754,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,258,13758,2,286,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,277,13777,2,286,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,279,13779,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,280,13780,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,281,13781,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,282,13782,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,283,13783,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,292,13792,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,300,13800,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
