ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
0,171,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.745,1.259,1.709/L260=1.366,1.506,3.770/L261=7.329,3.260,4.212/L262=0.808,1.853,1.822; peak=L261 margin=3.559; split fraction/run=0.393/36; outer edges=6/624; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,cv_inspected,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.850,1.546,1.517/L523=3.658,3.853,2.803/L524=8.102,2.166,1.958/L525=0.252,1.555,0.512; peak=L524 margin=4.249; split fraction/run=0.568/67; outer edges=8/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525; row Y(mean/std) L285=1.377/0.485 L286=116.466/27.269 L287=112.981/25.640 L522=101.000/40.422 L523=117.539/48.173 L525=85.308/59.013",522,0,0
1,172,23,259,262,262,cv_inspected,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.673,1.501,1.782/L260=1.323,1.550,5.037/L261=6.889,3.842,4.591/L262=0.724,2.334,2.553; peak=L261 margin=1.853; split fraction/run=0.435/66; outer edges=5/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262; row Y(mean/std) L22=1.398/0.490 L23=112.834/28.973 L24=110.522/27.806 L259=103.173/40.571 L260=85.142/41.620 L262=71.722/56.117",259,286,522,525,525,cv_inspected,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.936,1.577,1.476/L523=1.459,2.044,4.470/L524=0.466,2.550,2.557/L525=3.874,1.226,0.964; peak=L523 margin=0.596; split fraction/run=0.493/20; outer edges=8/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525; row Y(mean/std) L285=1.380/0.485 L286=115.484/28.332 L287=112.355/24.907 L522=101.995/41.163 L523=96.778/41.585 L525=97.678/52.958",522,0,0
2,173,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.734,1.521,1.713/L260=1.141,1.295,3.562/L261=6.993,3.261,3.835/L262=0.851,1.947,2.043; peak=L261 margin=3.431; split fraction/run=0.369/54; outer edges=6/689; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.836,1.632,1.567/L523=3.095,0.866,4.120/L524=0.408,3.107,2.352/L525=7.126,2.219,2.393; peak=L525 margin=3.006; split fraction/run=0.554/23; outer edges=5/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
3,174,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.640,1.387,1.330/L260=1.183,1.306,4.016/L261=6.273,3.427,5.291/L262=1.691,1.956,2.172; peak=L261 margin=2.256; split fraction/run=0.304/35; outer edges=6/607; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,523,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.788,1.484,1.736/L523=1.351,0.350,0.351/L524=3.684,0.497,0.553/L525=1.206,1.144,0.708; peak=L524 margin=1.948; split fraction/run=0.258/15; outer edges=6/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L524; last complete picture=L523; band bottom=L525",523,0,0
4,175,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.825,1.445,1.530/L260=1.167,1.281,3.645/L261=6.633,3.782,4.324/L262=0.870,1.887,1.945; peak=L261 margin=2.988; split fraction/run=0.360/45; outer edges=7/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.923,1.407,1.580/L523=3.304,3.851,5.618/L524=7.355,2.273,2.519/L525=0.377,0.831,2.174; peak=L524 margin=1.738; split fraction/run=0.692/60; outer edges=7/600; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
5,176,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.661,1.366,1.543/L260=1.119,1.249,3.462/L261=6.628,3.292,3.863/L262=0.520,1.990,2.150; peak=L261 margin=3.166; split fraction/run=0.360/52; outer edges=6/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.899,1.558,1.645/L523=2.844,3.467,5.121/L524=2.257,1.893,2.525/L525=1.378,2.108,2.369; peak=L523 margin=2.596; split fraction/run=0.263/14; outer edges=8/714; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
6,177,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.774,1.210,1.383/L260=1.449,1.319,3.619/L261=6.495,3.736,5.022/L262=0.843,2.911,2.197; peak=L261 margin=2.876; split fraction/run=0.318/43; outer edges=5/625; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.895,1.576,1.561/L523=2.609,3.757,5.703/L524=7.046,1.821,2.189/L525=0.938,1.266,2.293; peak=L524 margin=1.343; split fraction/run=0.715/65; outer edges=7/615; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
7,178,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.796,1.341,1.382/L260=1.110,1.271,3.294/L261=6.965,3.669,4.103/L262=0.826,1.766,1.971; peak=L261 margin=3.671; split fraction/run=0.439/41; outer edges=6/624; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.811,1.600,1.704/L523=1.412,2.432,4.888/L524=8.378,2.499,2.051/L525=0.847,2.232,2.366; peak=L524 margin=3.490; split fraction/run=0.682/60; outer edges=7/600; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
8,179,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.745,1.325,1.487/L260=1.186,1.228,3.307/L261=6.967,3.603,4.056/L262=0.698,1.887,2.085; peak=L261 margin=3.661; split fraction/run=0.407/44; outer edges=7/635; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.860,1.307,1.490/L523=2.596,3.778,4.691/L524=7.032,2.472,2.079/L525=0.928,2.148,1.630; peak=L524 margin=2.341; split fraction/run=0.678/70; outer edges=6/601; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
9,180,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.741,1.364,1.682/L260=1.071,1.203,2.277/L261=6.920,3.410,5.217/L262=0.803,2.272,2.125; peak=L261 margin=4.643; split fraction/run=0.211/7; outer edges=6/648; body=7.0+/-2.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.916,1.568,1.538/L523=1.732,4.004,4.671/L524=7.612,2.300,1.974/L525=0.833,2.325,2.318; peak=L524 margin=2.941; split fraction/run=0.636/47; outer edges=7/601; body=7.0+/-2.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
