ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
0,1910,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.256/0.282/0.128; direct edge candidate=L260; body edge positions=10/713,260,288,521,522,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.215/0.101/0.071; direct edge candidate=L521; body edge positions=10/713; magnified raw rows resolve L521; row Y(mean/std) L287=24.059/36.923 L288=141.998/61.997 L289=134.036/64.994 L520=27.456/2.877 L521=26.823/2.150 L522=27.673/2.595 L525=12.070/0.760,521,3,2
1,1911,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.264/0.277/0.126; direct edge candidate=L260; body edge positions=10/713,260,288,521,522,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.307/0.086/0.063; direct edge candidate=L521; body edge positions=10/713,521,3,2
2,1912,26,260,261,262,cv_inspected,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.335/0.261/0.099; direct edge candidate=L260; body edge positions=10/713; magnified raw rows resolve L260; row Y(mean/std) L25=88.745/44.372 L26=121.052/68.766 L27=107.181/62.351 L259=26.047/1.455 L260=26.439/1.774 L261=18.361/7.254 L262=12.534/0.864,260,288,521,522,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.230/0.085/0.030; direct edge candidate=L521; body edge positions=10/713; magnified raw rows resolve L521; row Y(mean/std) L287=27.670/43.768 L288=118.797/61.191 L289=109.236/62.041 L520=26.434/1.944 L521=25.755/1.423 L522=25.831/1.656 L525=12.411/0.765,521,3,2
3,1913,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.282/0.282/0.128; direct edge candidate=L260; body edge positions=10/713,260,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.226/0.138/0.029; direct edge candidate=L522; body edge positions=10/712; magnified raw rows resolve L522; row Y(mean/std) L287=30.433/45.279 L288=119.002/62.686 L289=113.411/64.350 L521=26.295/1.234 L522=26.523/1.754 L523=12.731/0.840 L525=12.073/0.766,522,3,2
4,1914,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.325/0.145/0.000; direct edge candidate=L259; body edge positions=10/712; magnified raw rows resolve L259; row Y(mean/std) L24=87.500/45.909 L25=117.611/69.940 L26=108.763/62.289 L258=27.413/1.610 L259=27.084/1.732 L260=18.816/7.617 L262=12.025/0.786,259,288,521,522,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.282/0.090/0.051; direct edge candidate=L521; body edge positions=10/713,521,2,2
5,1915,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.321/0.296/0.116; direct edge candidate=L260; body edge positions=10/713,260,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.250/0.400/0.025; direct edge candidate=L522; body edge positions=10/712,522,3,2
6,1916,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.322/0.118/0.023; direct edge candidate=L259; body edge positions=10/712; magnified raw rows resolve L259; row Y(mean/std) L24=114.369/47.152 L25=156.886/66.911 L26=145.680/64.879 L258=28.373/4.488 L259=28.217/5.480 L260=18.536/7.238 L262=11.941/0.812,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.315/0.202/0.045; direct edge candidate=L522; body edge positions=10/712; magnified raw rows resolve L522; row Y(mean/std) L287=72.608/63.250 L288=153.219/66.781 L289=148.006/65.368 L521=27.828/4.383 L522=27.875/5.947 L523=13.208/0.864 L525=12.533/0.800,522,2,2
7,1917,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.310/0.177/0.071; direct edge candidate=L259; body edge positions=10/712; magnified raw rows resolve L259; row Y(mean/std) L24=105.809/50.773 L25=139.113/67.045 L26=139.469/67.770 L258=30.153/8.768 L259=30.491/9.552 L260=18.317/6.666 L262=11.781/0.747,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.209/0.124/0.023; direct edge candidate=L522; body edge positions=10/712; magnified raw rows resolve L522; row Y(mean/std) L287=78.069/63.369 L288=146.217/69.844 L289=140.419/67.872 L521=29.075/9.085 L522=29.783/10.164 L523=12.858/0.839 L525=12.117/0.797,522,2,2
8,1918,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.394/0.189/0.056; direct edge candidate=L259; body edge positions=10/712; magnified raw rows resolve L259; row Y(mean/std) L24=114.895/54.226 L25=158.414/76.699 L26=145.347/72.568 L258=34.925/16.698 L259=35.642/17.322 L260=18.212/7.022 L262=11.717/0.705,259,288,521,522,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.333/0.155/0.030; direct edge candidate=L521; body edge positions=10/713; magnified raw rows resolve L521; row Y(mean/std) L287=66.567/62.357 L288=154.955/74.954 L289=149.600/74.007 L520=33.356/16.124 L521=34.241/16.226 L522=34.212/17.637 L525=12.041/0.819,521,2,2
9,1919,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.542/0.583/0.204; direct edge candidate=L260; body edge positions=10/712,260,288,521,522,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.833/0.186/0.042; direct edge candidate=L521; body edge positions=10/713,521,3,2
