ordinal,field,expected_picture_top_line,expected_event,finding,note
294,1,24,place,6,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=4.197/3.561 L24=158.595/17.307 L25=110.044/38.813
295,1,24,place,6,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=4.311/3.578 L24=133.173/34.126 L25=129.675/35.524
296,1,24,place,6,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=4.614/3.926 L24=157.981/17.830 L25=110.916/37.431
297,1,24,place,6,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=3.467/3.326 L24=159.637/13.778 L25=111.536/38.587
298,1,24,place,6,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=2.692/2.368 L24=160.780/16.683 L25=110.938/37.077
299,1,24,place,6,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=4.387/3.511 L24=161.223/14.540 L25=115.333/38.109
300,1,24,relock,2,raw relock; old geometry invalid; recorded_top=L23; picture_top=L24; L23=5.206/3.894 L24=160.777/17.433 L25=108.736/37.889
300,2,287,relock,2,raw relock; old geometry invalid; recorded_top=L286; picture_top=L287; L286=3.928/3.426 L287=157.688/15.944 L288=109.345/38.708
420,1,23,place,6,raw picture start confirmed; recorded_top=L23; picture_top=L23; L22=1.403/0.491 L23=154.059/21.053 L24=154.706/19.735
43686,1,25,forbid,2,raw Garbage; placement forbidden; recorded_top=L25; picture_top=L25; L24=25.655/36.334 L25=35.411/42.750 L26=24.566/39.200
43686,2,315,forbid,2,raw Garbage; placement forbidden; recorded_top=L315; picture_top=L315; L314=34.694/40.604 L315=98.791/53.649 L316=86.222/58.950
43687,1,25,forbid,2,raw Black; placement forbidden; recorded_top=L25; picture_top=L25; L24=43.883/51.385 L25=39.534/48.479 L26=50.722/56.737
43687,2,288,forbid,2,raw Black; placement forbidden; recorded_top=L288; picture_top=L288; L287=43.956/51.375 L288=39.614/48.549 L289=50.736/56.742
43688,1,25,forbid,2,raw PreSnow; placement forbidden; recorded_top=L25; picture_top=L25; L24=43.978/51.415 L25=39.619/48.587 L26=50.639/56.683
43688,2,315,forbid,2,raw PreSnow; placement forbidden; recorded_top=L315; picture_top=L315; L314=37.136/45.039 L315=91.570/53.679 L316=89.517/54.374
43689,1,25,forbid,2,raw Snow; placement forbidden; recorded_top=L25; picture_top=L25; L24=35.417/45.625 L25=17.809/31.876 L26=36.342/43.982
43689,2,288,forbid,2,raw Snow; placement forbidden; recorded_top=L288; picture_top=L288; L287=28.359/40.048 L288=39.467/46.646 L289=38.747/46.857
43690,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=44.244/47.247 L53=88.636/55.892 L54=90.713/53.461
43690,2,288,forbid,2,raw Snow; placement forbidden; recorded_top=L288; picture_top=L288; L287=33.686/46.104 L288=25.220/36.453 L289=36.041/49.377
43691,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=22.955/38.549 L53=89.025/55.906 L54=92.836/53.268
43691,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=26.395/36.824 L315=84.009/59.008 L316=89.416/55.609
43692,1,25,forbid,2,raw Snow; placement forbidden; recorded_top=L25; picture_top=L25; L24=35.130/46.853 L25=30.747/39.302 L26=37.539/47.571
43692,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=31.336/42.506 L315=93.078/55.753 L316=92.041/54.278
43693,1,25,forbid,2,raw Snow; placement forbidden; recorded_top=L25; picture_top=L25; L24=30.894/39.762 L25=34.777/40.089 L26=40.614/51.702
43693,2,288,forbid,2,raw Snow; placement forbidden; recorded_top=L288; picture_top=L288; L287=31.025/39.804 L288=34.763/40.040 L289=40.661/51.802
43694,1,25,forbid,2,raw Snow; placement forbidden; recorded_top=L25; picture_top=L25; L24=30.928/39.730 L25=34.638/40.043 L26=40.647/51.774
43694,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=34.903/40.855 L315=97.739/50.032 L316=94.664/53.874
43695,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=21.645/33.743 L53=87.453/56.485 L54=92.703/54.414
43695,2,288,forbid,2,raw Snow; placement forbidden; recorded_top=L288; picture_top=L288; L287=29.822/41.600 L288=45.797/57.318 L289=27.314/34.135
43696,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=27.652/41.815 L53=92.414/54.477 L54=99.200/48.634; repeat report only; same-field previous MAD=34.487900
43696,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=31.239/38.934 L315=85.811/58.039 L316=87.248/56.348
43697,1,25,forbid,2,raw Snow; placement forbidden; recorded_top=L25; picture_top=L25; L24=33.509/46.843 L25=30.956/47.601 L26=27.908/39.465
43697,2,304,forbid,2,raw Snow; placement forbidden; recorded_top=L304; picture_top=L304; L303=24.358/37.907 L304=29.355/39.504 L305=17.980/30.844
43698,1,25,forbid,2,raw Snow; placement forbidden; recorded_top=L25; picture_top=L25; L24=22.761/34.489 L25=31.656/38.299 L26=36.241/46.343
43698,2,288,forbid,2,raw Snow; placement forbidden; recorded_top=L288; picture_top=L288; L287=22.778/34.494 L288=31.556/38.261 L289=36.188/46.265
43699,1,25,forbid,2,raw Snow; placement forbidden; recorded_top=L25; picture_top=L25; L24=22.881/34.568 L25=31.603/38.349 L26=36.263/46.344
43699,2,298,forbid,2,raw Snow; placement forbidden; recorded_top=L298; picture_top=L298; L297=42.227/55.316 L298=34.952/44.039 L299=41.433/47.677
43700,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.239/0.626 L53=124.414/20.532 L54=124.375/20.527
43700,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.575/0.620 L315=124.963/20.590 L316=124.773/20.563
43701,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.537/0.690 L53=124.756/20.224 L54=124.830/20.158
43701,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.448/0.618 L315=124.869/20.210 L316=124.872/20.196
43702,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.833/0.713 L53=124.894/20.302 L54=124.828/20.312; repeat report only; same-field previous MAD=0.670746
43702,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.500/0.664 L315=124.562/20.343 L316=124.578/20.443
43703,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.525/0.651 L53=124.759/20.348 L54=124.611/20.398
43703,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.820/0.716 L315=124.941/20.244 L316=124.834/20.304
43704,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.709/0.687 L53=124.875/20.280 L54=124.745/20.351
43704,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.891/0.696 L315=124.894/20.350 L316=124.791/20.266
43705,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.441/0.649 L53=124.586/20.346 L54=124.566/20.341
43705,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.464/0.684 L315=124.714/20.289 L316=124.641/20.397
43706,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.539/0.648 L53=124.594/20.297 L54=124.620/20.346
43706,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.509/0.696 L315=124.762/20.237 L316=124.694/20.229
43707,1,53,forbid,2,raw Snow; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.627/0.687 L53=124.713/20.213 L54=124.625/20.260; repeat report only; same-field previous MAD=0.642953
43707,2,315,forbid,2,raw Snow; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.745/0.737 L315=124.878/20.234 L316=124.905/20.202
43708,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.581/0.698 L53=124.534/20.294 L54=124.569/20.195
43708,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.617/0.688 L315=124.728/20.322 L316=124.706/20.391
43709,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.602/0.656 L53=124.716/20.377 L54=124.625/20.322
43709,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.747/0.695 L315=124.675/20.306 L316=124.678/20.327
43710,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.875/0.689 L53=124.995/20.325 L54=124.758/20.292
43710,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.827/0.707 L315=124.819/20.361 L316=124.852/20.366
43711,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.689/0.702 L53=125.039/20.248 L54=125.025/20.276
43711,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.861/0.688 L315=124.894/20.283 L316=124.864/20.450
43712,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.970/0.694 L53=124.858/20.317 L54=124.906/20.256
43712,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.205/0.683 L315=125.030/20.332 L316=125.003/20.356
43713,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.866/0.710 L53=124.870/20.392 L54=124.848/20.297
43713,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.037/0.672 L315=124.887/20.367 L316=124.817/20.363
