ordinal,local_exact,counter,event,no_placement_expected,f1_blank_mean,f1_blank_noise,f1_active_top_line,f1_top_line,f1_top_valid,f1_top_status,f1_bottom_line,f1_bottom_valid,f1_height,f1_height_valid,f1_bottom_h_shift_px,f1_bottom_h_mad,f1_bottom_h_second_mad,f1_bottom_h_ratio,f1_cc_waveform_lines,f1_cc_waveform_scores,f1_cc_start_scores,f1_cc_cell_ratios,f1_cc_parity_lines,f1_line21_lines,f1_line21_bytes,f1_line21_unique_line,f1_line21_implied_top,f1_gap_line,f1_gap_valid,f1_gap_implied_top,f1_body_shift,f1_body_mad,f1_body_second_mad,f1_body_ratio,f1_body_unique,f1_static_fraction,f1_band_shifts,f1_band_mads,f1_repeated,f2_blank_mean,f2_blank_noise,f2_active_top_line,f2_top_line,f2_top_valid,f2_top_status,f2_bottom_line,f2_bottom_valid,f2_height,f2_height_valid,f2_bottom_h_shift_px,f2_bottom_h_mad,f2_bottom_h_second_mad,f2_bottom_h_ratio,f2_cc_waveform_lines,f2_cc_waveform_scores,f2_cc_start_scores,f2_cc_cell_ratios,f2_cc_parity_lines,f2_line21_lines,f2_line21_bytes,f2_line21_unique_line,f2_line21_implied_top,f2_gap_line,f2_gap_valid,f2_gap_implied_top,f2_body_shift,f2_body_mad,f2_body_second_mad,f2_body_ratio,f2_body_unique,f2_static_fraction,f2_band_shifts,f2_band_mads,f2_repeated,comb_crop_f1_line,comb_crop_f2_line,comb_best_shift,comb_best_energy,comb_second_energy,comb_ratio,comb_static_fraction,comb_valid
62130,0,1097,Program,0,1.0,0.25,24,24,0,vbi_ambiguous,262,1,239,0,-32,10.395174980163574,10.410299301147461,0.9985471771227347,21 23,0.085504 0.124055,0.210294 0.155882,1.045045 17.867531,21 23,21 23,8080 8080,23,25,-1,0,-1,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,1.0,0.25,288,288,1,measured,525,1,238,1,-1,1.5789161920547485,1.5792392492294312,0.9997954349381576,284 287,0.085693 0.085587,0.215976 0.004438,2.285714 0.968750,284,284,8080,-1,-1,287,1,288,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,23,286,-128,nan,nan,nan,0.0,0
62131,1,1098,Program,0,1.0,0.25,24,25,1,measured,262,1,238,1,-32,11.19093132019043,11.20701789855957,0.9985645977801813,21 23,0.085189 0.123109,0.213235 0.151471,0.742647 12.934985,21 23,21 23,8080 8080,23,25,24,1,25,0,2.8677539825439453,3.461143970489502,0.8285566873250768,1,0.669140625,0 0 0,2.400 3.310 2.627,0,1.0,0.25,288,288,1,measured,525,1,238,1,31,1.107350468635559,1.1073797941207886,0.9999735181322748,284 287,0.085714 0.109454,0.210294 0.001471,0.854015 1.017467,284,284,8080,-1,-1,287,1,288,0,2.968642473220825,3.533687114715576,0.8400977157423767,1,0.671171875,0 0 0,2.525 3.405 2.609,0,23,286,0,1.1383155584335327,1.4416016340255737,0.7896186654942008,0.4440899581589958,1
62132,2,1099,Program,0,1.0,0.25,25,26,1,measured,262,1,237,1,32,39.12250518798828,39.23878860473633,0.9970365186876842,21 24,0.085399 0.128151,0.213235 0.183824,0.921260 17.585520,21 24,21 24,8080 8080,24,26,25,1,26,1,2.4600038528442383,3.0949366092681885,0.7948478962307138,1,0.7046383647798742,1 1 1,2.227 2.741 2.124,0,1.0,0.25,288,288,1,measured,525,1,238,1,32,1.3569051027297974,1.3606727123260498,0.997231068454506,284 287,0.085399 0.088025,0.211765 0.005882,1.738739 1.245192,284,284,8080,-1,-1,287,1,288,0,2.591972589492798,3.1591687202453613,0.8204603232750065,1,0.689765625,0 0 0,2.242 2.942 2.338,0,23,286,-1,0.9697446227073669,1.1052360534667969,0.8774095087339636,0.4009414225941423,1
62133,3,1100,Program,0,1.0,0.25,24,25,1,measured,262,1,238,1,-32,10.306780815124512,10.319352149963379,0.9987817709235834,21 23,0.085482 0.130811,0.215976 0.144970,1.675676 17.986928,21 23,21 23,8080 8080,23,25,24,1,25,-1,2.4221205711364746,2.9084765911102295,0.8327798059436669,1,0.6933962264150944,-1 -1 -1,2.203 2.549 2.290,0,1.0,0.25,288,288,1,measured,525,1,238,1,13,1.0800403356552124,1.0811793804168701,0.9989464793888148,284 287,0.084691 0.088137,0.211988 0.001462,0.917910 0.887147,284,284,8080,-1,-1,287,1,288,0,2.6037890911102295,2.6797070503234863,0.9716693064624015,1,0.6715625,1 0 0,2.194 2.803 2.165,0,23,286,0,1.1782338619232178,1.3546247482299805,0.8697861628932708,0.33336820083682006,1
62134,4,1101,Program,0,1.0,0.25,24,25,1,measured,262,1,238,1,-32,11.089017868041992,11.104028701782227,0.9986481632798891,21 23,0.084795 0.132519,0.188596 0.144737,0.587629 10.228447,21 23,21 23,8080 8080,23,25,24,1,25,0,2.534804582595825,2.8917746543884277,0.876556746477157,1,0.705859375,1 0 0,2.324 2.705 2.257,0,1.0,0.25,288,288,1,measured,525,1,238,1,-11,1.1525321006774902,1.1527777910232544,0.99978687102781,284 287,0.085109 0.083333,0.211988 0.007310,0.829268 1.175655,284,284,8080,-1,-1,287,1,288,0,2.3824219703674316,2.8625590801239014,0.8322699737132805,1,0.7221875,0 0 0,2.170 2.536 2.185,0,23,286,0,1.1960325241088867,1.4586238861083984,0.8199732196213348,0.42677824267782427,1
62135,5,1102,Program,0,1.0,0.25,24,24,0,vbi_ambiguous,262,1,239,0,-32,10.51102352142334,10.524293899536133,0.9987390718807865,21 23,0.084482 0.134294,0.211988 0.140351,2.010204 11.470945,21 23,21 23,8080 8080,23,25,-1,0,-1,0,2.408007860183716,2.9571540355682373,0.8142990967736318,1,0.714296875,0 0 0,2.259 2.573 2.127,0,1.0,0.25,288,288,1,measured,525,1,238,1,-1,1.3524525165557861,1.352685570716858,0.999827710026545,284 287,0.084095 0.108077,0.206395 0.002907,0.959016 1.178631,284,284,8080,-1,-1,287,1,288,0,2.389511823654175,3.0273289680480957,0.7893135661417198,1,0.714375,0 0 0,2.324 2.456 2.141,0,23,286,0,1.2233777046203613,1.539052128791809,0.7948903625381036,0.47432008368200834,1
62136,6,1103,Program,0,1.0,0.25,24,25,1,measured,262,1,238,1,-32,10.743760108947754,10.757474899291992,0.9987250920431949,21 23,0.084691 0.141604,0.210526 0.169591,2.675000 14.003361,21 23,21 23,8080 8080,23,25,24,1,25,0,2.504873037338257,3.2283313274383545,0.7759033331085772,1,0.68328125,0 0 0,2.488 2.575 1.957,0,1.0,0.25,288,288,1,measured,525,1,238,1,-7,1.10063898563385,1.1006778478622437,0.9999646924588615,284 287,0.085526 0.092941,0.211988 0.004386,0.935484 0.996350,284,284,8080,-1,-1,287,1,288,0,2.4663867950439453,3.1395537853240967,0.7855851384273513,1,0.688515625,0 0 0,2.564 2.418 2.003,0,23,286,0,1.2496265172958374,1.5903632640838623,0.7857491087205738,0.46385983263598324,1
62137,7,1104,Program,0,1.0,0.25,25,26,1,measured,262,1,237,1,32,39.27287673950195,39.38953399658203,0.9970383692000468,21 24,0.084199 0.127907,0.207849 0.148256,0.920635 14.871835,21 24,21 24,8080 8080,24,26,25,1,26,1,2.364868402481079,3.118492841720581,0.7583369667689533,1,0.7145440251572327,1 1 1,2.575 2.239 1.810,0,1.0,0.25,288,288,1,measured,525,1,238,1,3,1.4593254327774048,1.460578441619873,0.9991421146535077,284 287,0.084125 0.104975,0.208092 0.001445,2.010526 1.247467,284,284,8080,-1,-1,-1,0,-1,0,2.5837011337280273,3.4003734588623047,0.759828637938046,1,0.680859375,0 0 0,2.761 2.460 1.965,0,23,286,-1,1.1306302547454834,1.1810154914855957,0.9573373616998597,0.36344142259414225,1
62138,8,1105,Program,0,1.0,0.25,24,25,1,measured,262,1,238,1,-32,10.33631420135498,10.351951599121094,0.9984894251469026,21 23,0.085213 0.120718,0.210526 0.153509,2.280488 13.805714,21 23,21 23,8080 8080,23,25,24,1,25,-1,2.434817314147949,3.390683650970459,0.7180903808148165,1,0.5949685534591195,-1 -1 -1,2.598 2.336 1.828,0,1.0,0.25,288,288,1,measured,525,1,238,1,8,1.3456000089645386,1.3457531929016113,0.9998861723398609,284 287,0.084510 0.093335,0.212209 0.004360,1.857143 0.499918,284,284,8080,-1,-1,-1,0,-1,0,2.5633885860443115,3.3341686725616455,0.7688239071824933,1,0.696640625,0 0 0,2.848 2.404 1.825,0,23,286,0,1.1413447856903076,1.292633295059204,0.8829609991115328,0.3723849372384937,1
62139,9,1106,Program,0,1.0,0.25,24,25,1,measured,262,1,238,1,-32,10.437396049499512,10.452865600585938,0.9985200660108403,21 23,0.084821 0.120640,0.210756 0.188953,0.823077 12.586883,21 23,21 23,8080 8080,23,25,24,1,25,0,2.4891698360443115,3.2815840244293213,0.7585269240446119,1,0.687890625,0 0 0,2.592 2.472 1.945,0,1.0,0.25,288,288,1,measured,525,1,238,1,14,1.4975767135620117,1.4977822303771973,0.9998627859170597,284 287,0.083505 0.122213,0.206647 0.004335,2.325301 1.210459,284,284,8080,-1,-1,-1,0,-1,0,2.4592089653015137,3.297356605529785,0.7458122549369796,1,0.687421875,0 0 0,2.609 2.413 1.838,0,23,286,0,1.2646057605743408,1.62130606174469,0.7799920017652291,0.4377615062761506,1
