ordinal,local_exact,counter,event,no_placement_expected,f1_blank_mean,f1_blank_noise,f1_active_top_line,f1_top_line,f1_top_valid,f1_top_status,f1_bottom_line,f1_bottom_valid,f1_bottom_censored,f1_visible_height,f1_height_valid,f1_line21_lines,f1_line21_bytes,f1_line21_unique_line,f1_line21_implied_top,f1_gap_line,f1_gap_valid,f1_gap_implied_top,f1_body_shift,f1_body_mad,f1_body_second_mad,f1_body_ratio,f1_body_unique,f1_static_fraction,f1_band_shifts,f1_band_mads,f1_repeated,f2_blank_mean,f2_blank_noise,f2_active_top_line,f2_top_line,f2_top_valid,f2_top_status,f2_bottom_line,f2_bottom_valid,f2_bottom_censored,f2_visible_height,f2_height_valid,f2_line21_lines,f2_line21_bytes,f2_line21_unique_line,f2_line21_implied_top,f2_gap_line,f2_gap_valid,f2_gap_implied_top,f2_body_shift,f2_body_mad,f2_body_second_mad,f2_body_ratio,f2_body_unique,f2_static_fraction,f2_band_shifts,f2_band_mads,f2_repeated,comb_crop_f1_line,comb_crop_f2_line,comb_best_shift,comb_best_energy,comb_second_energy,comb_ratio,comb_static_fraction,comb_valid
8990,0,13500,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,23,286,-128,nan,nan,nan,0.0,0
8991,1,13501,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.341796875,11.855749130249023,0.45056595043587927,1,0.71609375,0 0 0,5.260 5.410 5.236,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.319843769073486,11.848309516906738,0.4489960159702469,1,0.671953125,0 0 0,5.265 5.317 5.776,0,23,286,-1,5.691227436065674,9.024338722229004,0.6306531271977728,0.3700836820083682,1
8992,2,13502,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.365908145904541,11.555562019348145,0.4643571759573521,1,0.71609375,0 0 0,5.216 5.487 5.288,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.268154144287109,11.693052291870117,0.4505371234805752,1,0.73203125,0 0 0,5.036 5.472 5.698,0,23,286,-1,5.5470194816589355,8.579330444335938,0.646556222265698,0.3731171548117155,1
8993,3,13503,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.2294921875,11.72076416015625,0.4461733139616628,1,0.721328125,0 0 0,5.114 5.309 5.329,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.268359184265137,11.698712348937988,0.45033667185973675,1,0.726484375,0 0 0,5.188 5.274 5.769,0,23,286,-1,6.034183502197266,8.959676742553711,0.6734822779418029,0.37552301255230125,1
8994,4,13504,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21,8080,-1,-1,24,1,25,1,5.509237289428711,11.744218826293945,0.46910206382515346,1,0.7065251572327044,1 1 1,5.388 5.604 5.496,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.229043006896973,11.998211860656738,0.4358185259291424,1,0.731640625,0 0 0,5.163 5.287 5.646,0,23,286,-2,3.9282147884368896,4.100882530212402,0.9578949797992459,0.3221234309623431,1
8995,5,13505,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,-1,5.326444625854492,11.731803894042969,0.4540175299519871,1,0.7131289308176101,-1 -1 -1,5.105 5.538 5.452,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.215683460235596,11.980916023254395,0.43533261147246166,1,0.72140625,0 0 0,5.203 5.255 5.555,0,23,286,-1,3.8546359539031982,3.929145574569702,0.981036686156719,0.3088389121338912,1
8996,6,13506,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,6.313681602478027,11.968317985534668,0.5275329089775995,1,0.698046875,0 0 0,5.385 6.871 10.202,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,6.446943283081055,12.298142433166504,0.524220899059884,1,0.69390625,0 0 0,5.555 6.944 10.329,0,23,286,-1,5.639507293701172,8.495426177978516,0.6638286503294755,0.3963389121338912,1
8997,7,13507,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.529833793640137,11.518750190734863,0.4800723778251631,1,0.704296875,0 0 0,5.352 5.631 5.689,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.596103668212891,11.827613830566406,0.4731388552567329,1,0.69859375,0 0 0,5.496 5.634 5.951,0,23,286,-1,5.4138054847717285,8.57158088684082,0.6315994162853971,0.34806485355648537,1
8998,8,13508,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.168603420257568,11.688836097717285,0.4421828980275415,1,0.735546875,0 0 0,5.037 5.298 5.134,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,6.695986270904541,12.04551887512207,0.5558902310745566,1,0.689140625,0 0 0,5.472 6.925 9.951,0,23,286,-1,5.525853157043457,8.363414764404297,0.6607173400704883,0.3609832635983264,1
8999,9,13509,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,6.738476753234863,11.942452430725098,0.5642456432062782,1,0.689765625,0 0 0,5.389 7.315 9.905,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.517099380493164,11.675019264221191,0.4725559123830015,1,0.715859375,0 0 0,5.443 5.596 5.869,0,23,286,-1,5.1666412353515625,7.723062992095947,0.6689886176817778,0.34069037656903767,1
