ordinal,local_exact,counter,event,no_placement_expected,f1_blank_mean,f1_blank_noise,f1_active_top_line,f1_top_line,f1_top_valid,f1_top_status,f1_bottom_line,f1_bottom_valid,f1_bottom_censored,f1_visible_height,f1_height_valid,f1_line21_lines,f1_line21_bytes,f1_line21_unique_line,f1_line21_implied_top,f1_gap_line,f1_gap_valid,f1_gap_implied_top,f1_body_shift,f1_body_mad,f1_body_second_mad,f1_body_ratio,f1_body_unique,f1_static_fraction,f1_band_shifts,f1_band_mads,f1_repeated,f2_blank_mean,f2_blank_noise,f2_active_top_line,f2_top_line,f2_top_valid,f2_top_status,f2_bottom_line,f2_bottom_valid,f2_bottom_censored,f2_visible_height,f2_height_valid,f2_line21_lines,f2_line21_bytes,f2_line21_unique_line,f2_line21_implied_top,f2_gap_line,f2_gap_valid,f2_gap_implied_top,f2_body_shift,f2_body_mad,f2_body_second_mad,f2_body_ratio,f2_body_unique,f2_static_fraction,f2_band_shifts,f2_band_mads,f2_repeated,comb_best_shift,comb_best_energy,comb_second_energy,comb_ratio,comb_static_fraction,comb_valid
66420,0,5387,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21 23,8080 8080,23,25,24,1,25,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,-128,nan,nan,nan,0.0,0
66421,1,5388,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21,8080,-1,-1,24,1,25,0,2.4446778297424316,4.177112579345703,0.5852554326235954,1,0.628046875,0 0 0,2.208 2.572 2.694,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,2.794482469558716,4.408716678619385,0.6338539473654324,1,0.602890625,0 0 0,2.237 3.089 3.463,0,0,1.8131604194641113,2.4809296131134033,0.730839121706768,0.34644351464435147,1
66422,2,5389,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21 23,8080 8080,23,25,24,1,25,0,2.455204963684082,4.186595916748047,0.5864442168546257,1,0.638359375,0 0 0,1.932 2.843 3.271,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,1.9169628620147705,3.838797092437744,0.49936550847949224,1,0.7328125,0 0 0,1.489 2.170 2.406,0,0,1.575495719909668,2.29431414604187,0.6866957267502791,0.37981171548117154,1
66423,3,5390,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21,8080,-1,-1,24,1,25,0,2.084287166595459,3.9246561527252197,0.5310751019928619,1,0.699296875,0 0 0,1.681 2.343 2.636,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,1.7079004049301147,3.77486252784729,0.4524404246064261,1,0.61015625,0 0 0,1.510 1.763 2.052,0,0,1.562818169593811,2.329136848449707,0.6709859794773484,0.43153765690376567,1
66424,4,5391,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21 23,8080 9420,23,25,24,1,25,0,1.8628612756729126,3.8703322410583496,0.48131818139817106,1,0.741875,0 0 0,1.808 1.860 2.392,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,2.267148494720459,3.9183175563812256,0.5786025410391421,1,0.6540625,0 0 0,2.116 2.371 2.173,0,0,1.5930678844451904,2.2980077266693115,0.6932386980065348,0.3953451882845188,1
66425,5,5392,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21,8080,-1,-1,24,1,25,0,20.557147979736328,20.5976505279541,0.9980336326144186,1,0.8059375,-1 0 0,22.190 18.911 17.251,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,23.7296199798584,23.73295021057129,0.9998596790250119,1,0.79625,-3 0 0,25.727 21.856 19.644,0,0,3.504704236984253,4.193653106689453,0.8357162950349346,0.7219665271966528,1
66426,6,5393,Program,0,1.0,0.25,23,25,1,measured,262,0,1,238,0,21 23,8080 9454,23,25,24,1,25,0,5.05496072769165,5.4820756912231445,0.9220888240898772,1,0.7484375,0 0 0,5.084 4.957 4.764,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,2.4100584983825684,2.722562789916992,0.885216865266879,1,0.710390625,0 0 1,1.529 2.831 3.203,0,0,1.6861611604690552,2.148085117340088,0.7849601241858517,0.2856694560669456,1
66427,7,5394,Program,0,1.0,0.25,23,26,1,measured,262,0,1,237,0,21 24,8080 9454,24,26,25,1,26,1,1.8772504329681396,2.7350573539733887,0.6863660208956645,1,0.6304245283018868,1 1 1,1.309 2.232 3.027,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,2.260058641433716,2.4811811447143555,0.9108801452277293,1,0.734375,0 0 1,1.460 2.527 3.199,0,0,1.0438575744628906,1.0687568187713623,0.9767026101062956,0.3859309623430962,1
66428,8,5395,Program,0,1.0,0.25,23,26,1,measured,262,0,1,237,0,21 24,8080 4920,24,26,25,1,26,0,2.0763378143310547,2.3334808349609375,0.8898028144147208,1,0.63390625,0 0 1,1.354 2.473 3.028,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,1.9443066120147705,2.4564268589019775,0.7915182188179929,1,0.66125,0 0 1,1.164 2.290 3.267,0,-1,1.2317858934402466,1.4915539026260376,0.8258406828419395,0.505020920502092,1
66429,9,5396,Program,0,1.0,0.25,23,26,1,measured,262,0,1,237,0,21 24,8080 c8c1,24,26,25,1,26,0,2.1350879669189453,2.396904468536377,0.8907689042036353,1,0.64390625,0 0 1,1.210 2.701 3.080,0,1.0,0.25,286,288,1,measured,525,0,1,238,0,284,8080,-1,-1,287,1,288,0,1.880517601966858,2.4553165435791016,0.7658961965147018,1,0.62171875,0 0 0,1.268 2.222 3.001,0,-1,1.2393851280212402,1.5192768573760986,0.8157730580861663,0.5195083682008368,1
