ordinal,local_exact,counter,event,no_placement_expected,f1_blank_mean,f1_blank_noise,f1_active_top_line,f1_top_line,f1_top_valid,f1_top_status,f1_bottom_line,f1_bottom_valid,f1_height,f1_height_valid,f1_bottom_h_shift_px,f1_bottom_h_mad,f1_bottom_h_second_mad,f1_bottom_h_ratio,f1_cc_waveform_lines,f1_cc_waveform_scores,f1_cc_start_scores,f1_cc_cell_ratios,f1_cc_parity_lines,f1_line21_lines,f1_line21_bytes,f1_line21_unique_line,f1_line21_implied_top,f1_gap_line,f1_gap_valid,f1_gap_implied_top,f1_body_shift,f1_body_mad,f1_body_second_mad,f1_body_ratio,f1_body_unique,f1_static_fraction,f1_band_shifts,f1_band_mads,f1_repeated,f2_blank_mean,f2_blank_noise,f2_active_top_line,f2_top_line,f2_top_valid,f2_top_status,f2_bottom_line,f2_bottom_valid,f2_height,f2_height_valid,f2_bottom_h_shift_px,f2_bottom_h_mad,f2_bottom_h_second_mad,f2_bottom_h_ratio,f2_cc_waveform_lines,f2_cc_waveform_scores,f2_cc_start_scores,f2_cc_cell_ratios,f2_cc_parity_lines,f2_line21_lines,f2_line21_bytes,f2_line21_unique_line,f2_line21_implied_top,f2_gap_line,f2_gap_valid,f2_gap_implied_top,f2_body_shift,f2_body_mad,f2_body_second_mad,f2_body_ratio,f2_body_unique,f2_static_fraction,f2_band_shifts,f2_band_mads,f2_repeated,comb_crop_f1_line,comb_crop_f2_line,comb_best_shift,comb_best_energy,comb_second_energy,comb_ratio,comb_static_fraction,comb_valid
77887,0,16854,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,24,82.67754364013672,82.67845153808594,0.9999890189289672,21 24,0.087565 0.097354,0.213855 0.134036,0.812500 30.638431,21 24,21 24,8080 942c,24,26,-1,0,-1,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,1.0,0.25,286,286,1,measured,525,1,240,1,-12,1.6950483322143555,1.6955645084381104,0.9996955726419219,284,0.086506,0.211078,0.839416,284,284,8080,-1,-1,-1,0,-1,-128,nan,nan,nan,0,0.0,-128 -128 -128,nan nan nan,0,23,286,-128,nan,nan,nan,0.0,0
77888,1,16855,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,24,85.12910461425781,85.13053131103516,0.9999832410680942,21 24,0.088318 0.096601,0.189759 0.197289,0.561497 29.863679,21 24,21 24,8080 942f,24,26,-1,0,-1,0,2.250380754470825,6.348211288452148,0.354490525317648,1,0.664453125,0 0 0,1.942 2.523 2.251,0,1.0,0.25,286,286,1,measured,525,1,240,1,12,1.7795894145965576,1.7802908420562744,0.999606004006117,284,0.087147,0.214072,0.890756,284,284,8080,-1,-1,-1,0,-1,0,1.9027050733566284,6.1244988441467285,0.3106711457991491,1,0.715,0 0 0,2.001 1.708 2.181,0,23,286,-1,2.4297192096710205,3.3411645889282227,0.7272072790794256,0.3604602510460251,1
77889,2,16856,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,19,87.95643615722656,87.96002960205078,0.9999591468438508,21 24,0.088853 0.101299,0.216667 0.142424,1.948980 34.001060,21 24,21 24,8080 942f,24,26,-1,0,-1,0,3.420351505279541,6.430778503417969,0.5318720748135889,1,0.631875,0 0 0,2.979 3.651 6.330,0,1.0,0.25,286,286,1,measured,525,1,240,1,6,1.5869218111038208,1.5869824886322021,0.9999617654707497,284,0.092470,0.226115,0.787879,284,284,8080,-1,-1,-1,0,-1,0,7.613290786743164,9.637312889099121,0.7899806589609275,1,0.8390625,0 0 0,7.437 7.430 9.645,0,23,286,-1,3.660810947418213,4.8933000564575195,0.7481272158217984,0.36731171548117153,1
77890,3,16857,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,18,79.88150787353516,79.88375091552734,0.9999719211733741,21 24,0.098639 0.110544,0.239796 0.129252,1.865385 14.619150,21 24,21 24,8080 8080,24,26,24,1,25,0,11.364531517028809,13.3929443359375,0.8485461622157408,1,0.854765625,0 0 0,11.052 12.103 10.179,0,1.0,0.25,286,286,1,measured,525,1,240,1,5,0.9852706789970398,0.9854000210762024,0.9998687415502373,284,0.104337,0.133929,0.288591,284,284,8080,-1,-1,-1,0,-1,0,11.06063461303711,12.919290542602539,0.856133281975791,1,0.893046875,0 0 0,11.009 11.369 10.582,0,23,286,-1,4.494605541229248,6.419867038726807,0.700108820652557,0.6756276150627615,1
77891,4,16858,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,24,61.25410461425781,61.25532913208008,0.9999800096115781,21 24,0.112818 0.129291,0.277132 0.184109,2.108696 13.891765,21 24,21 24,8080 8080,24,26,24,1,25,0,10.372666358947754,12.118356704711914,0.8559466115496177,1,0.891015625,0 0 0,9.322 11.589 13.162,0,1.0,0.25,286,286,1,measured,525,1,240,1,20,1.6926997900009155,1.6932189464569092,0.9996933908298865,284,0.117800,0.290323,1.070175,284,284,8080,-1,-1,-1,0,-1,0,9.649658203125,11.221599578857422,0.8599182438576661,1,0.931171875,0 0 0,7.630 11.238 13.195,0,23,286,-1,4.297431945800781,5.592808723449707,0.7683852887337933,0.7970188284518829,1
77892,5,16859,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,22,54.88747787475586,54.88811492919922,0.999988393581303,21 24,0.129073 0.134085,0.311404 0.260965,1.810000 13.928189,21 24,21 24,8080 8080,24,26,24,1,25,0,10.61172866821289,11.893366813659668,0.8922392485217221,1,0.956171875,0 0 0,9.491 11.837 10.479,0,1.0,0.25,286,286,1,measured,525,1,240,1,10,1.507022500038147,1.5072115659713745,0.9998745591279312,284,0.135417,0.335648,0.830882,284,284,8080,-1,-1,-1,0,-1,0,10.8466215133667,11.98708724975586,0.9048588107663613,1,0.952734375,0 0 0,10.483 11.399 9.702,0,23,286,-1,4.0031514167785645,5.289170742034912,0.7568580429752633,0.7851464435146444,1
77893,6,16860,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,22,48.76963806152344,48.76987838745117,0.9999950722467293,21 24,0.146786 0.177321,0.357500 0.250000,0.908397 13.515294,21 24,21 24,8080 8080,24,26,24,1,25,0,9.820068359375,10.800413131713867,0.9092308080826811,1,0.9140625,0 0 0,8.439 11.146 9.596,0,1.0,0.25,286,286,1,measured,525,1,240,1,32,1.4465473890304565,1.4491279125213623,0.9982192576179035,284,0.160326,0.385870,1.960000,284,284,8080,-1,-1,-1,0,-1,0,11.1751070022583,11.935829162597656,0.9362656628227246,1,0.94953125,0 0 0,10.182 11.991 10.710,0,23,286,-1,4.748624801635742,5.552004814147949,0.855299114571193,0.732060669456067,1
77894,7,16861,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,22,40.49468231201172,40.49571228027344,0.999974565992207,21 24,0.178354 0.208188,0.439024 0.429878,0.683099 16.000000,21 24,21 24,8080 8080,24,26,24,1,25,0,11.579785346984863,12.11517333984375,0.9558084743948211,1,0.87390625,0 0 0,11.295 12.147 11.004,0,1.0,0.25,286,286,1,measured,525,1,240,1,6,1.4342105388641357,1.4343153238296509,0.9999269442612971,284,0.199324,0.479730,2.040816,284,284,8080,-1,-1,-1,0,-1,0,11.735947608947754,12.131967544555664,0.9673573198944446,1,0.86484375,0 0 0,11.113 12.340 11.719,0,23,286,-1,4.478395462036133,4.981836318969727,0.8989447214440581,0.6896443514644351,1
77895,8,16862,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,17,35.28145217895508,35.2816047668457,0.9999956751431338,21 24,0.226374 0.265659,0.553846 0.415385,0.919355 14.018576,21 24,21 24,8080 8080,24,26,24,1,25,0,10.860713005065918,11.10282039642334,0.9781940639663581,1,0.855390625,0 0 0,10.038 11.891 10.806,0,1.0,0.25,286,286,1,measured,525,1,240,1,18,1.9069105386734009,1.9075733423233032,0.9996525409350211,284,0.254926,0.616379,2.020619,284,284,8080,-1,-1,-1,0,-1,0,10.528281211853027,10.69713020324707,0.9842154869403394,1,0.908203125,0 1 -1,9.416 11.118 11.522,0,23,286,-1,4.595441818237305,4.684405326843262,0.9810085800867475,0.7660564853556485,1
77896,9,16863,Program,0,1.0,0.25,25,25,0,vbi_ambiguous,262,1,238,0,19,24.361562728881836,24.361745834350586,0.9999924838938065,21 24,0.301749 0.354227,0.719388 0.607143,2.043478 14.783513,21 24,21 24,8080 8080,24,26,24,1,25,0,11.1500883102417,11.225973129272461,0.9932402457981226,1,0.9415625,0 0 0,10.401 12.036 11.465,0,1.0,0.25,286,286,1,measured,525,1,240,1,0,1.472946286201477,1.4745146036148071,0.9989363839398502,284,0.350765,0.875000,2.000000,284,284,8080,-1,-1,-1,0,-1,0,10.723163604736328,10.75560188293457,0.9969840573729574,1,0.9178125,0 3 -3,9.725 11.401 10.720,0,23,286,-1,3.976229190826416,3.9915342330932617,0.9961656242003504,0.7451882845188285,1
