capture,ordinal,field,previous_bottom_line,bottom_line,previous_band_marker,band_marker
w_300s,41,1,260,259,261,260
w_300s,42,1,259,260,260,261
w_300s,45,1,260,259,261,260
w_300s,46,1,259,260,260,261
w_300s,48,2,521,522,522,523
w_300s,49,1,260,259,261,260
w_300s,50,2,522,521,523,522
w_300s,51,2,521,522,522,523
w_300s,58,2,522,521,523,522
w_300s,60,2,521,522,522,523
w_300s,62,2,522,521,523,522
w_300s,63,1,259,260,260,261
w_300s,64,1,260,259,261,260
w_300s,64,2,521,522,522,523
w_300s,65,2,522,521,523,522
w_300s,66,1,259,260,260,261
w_300s,73,2,521,522,522,523
w_300s,75,1,260,259,261,260
w_300s,75,2,522,521,523,522
w_300s,76,1,259,260,260,261
w_300s,76,2,521,522,522,523
w_300s,77,2,522,521,523,522
w_300s,78,1,260,259,261,260
w_300s,78,2,521,522,522,523
w_300s,80,2,522,521,523,522
w_300s,81,2,521,522,522,523
w_300s,82,2,522,521,523,522
w_300s,83,1,259,260,260,261
w_300s,86,1,260,259,261,260
w_300s,87,2,521,522,522,523
w_300s,105,1,259,260,260,261
w_300s,105,2,522,521,523,522
w_300s,108,1,260,259,261,260
w_300s,109,1,259,260,260,261
w_300s,110,1,260,259,261,260
w_300s,111,1,259,260,260,261
w_300s,144,1,260,259,261,260
w_300s,145,1,259,260,260,261
w_300s,157,1,260,259,261,260
w_300s,158,1,259,260,260,261
w_300s,160,1,260,259,261,260
w_300s,161,1,259,260,260,261
w_300s,163,1,260,259,261,260
w_300s,165,1,259,260,260,261
w_300s,167,1,260,259,261,260
w_300s,168,1,259,260,260,261
w_300s,229,2,521,522,522,523
w_300s,230,1,260,259,261,260
w_300s,239,2,522,521,523,522
w_300s,240,2,521,522,522,523
w_300s,243,2,522,521,523,522
w_300s,245,1,259,260,260,261
w_300s,258,2,521,522,522,523
w_300s,259,1,260,259,261,260
w_300s,280,1,259,260,260,261
w_300s,280,2,522,521,523,522
w_300s,281,1,260,259,261,260
w_300s,282,1,259,260,260,261
w_300s,308,1,260,259,261,260
w_300s,309,1,259,260,260,261
w_300s,319,1,260,259,261,260
w_300s,320,1,259,260,260,261
w_300s,342,1,260,259,261,260
w_300s,343,1,259,260,260,261
