counter	field	storage_row	edge	identifiable	boundary_sample	failed_test
6667	1	59	left	no		L2
6667	1	59	right	no		L2
6667	1	139	left	no		L2
6667	1	139	right	no		L2
6667	1	219	left	no		L2
6667	1	219	right	no		L2
6667	2	322	left	no		L2
6667	2	322	right	no		L2
6667	2	402	left	no		L2
6667	2	402	right	no		L2
6667	2	482	left	no		L2
6667	2	482	right	no		L2
6668	1	59	left	no		L2
6668	1	59	right	no		L2
6668	1	139	left	no		L2
6668	1	139	right	no		L2
6668	1	219	left	no		L2
6668	1	219	right	no		L2
6668	2	322	left	no		L2
6668	2	322	right	no		L2
6668	2	402	left	no		L2
6668	2	402	right	no		L2
6668	2	482	left	no		L2
6668	2	482	right	no		L2
6669	1	59	left	no		L2
6669	1	59	right	no		L2
6669	1	139	left	no		L2
6669	1	139	right	no		L2
6669	1	219	left	no		L2
6669	1	219	right	no		L2
6669	2	322	left	no		L2
6669	2	322	right	no		L2
6669	2	402	left	no		L2
6669	2	402	right	no		L2
6669	2	482	left	no		L2
6669	2	482	right	no		L2
6670	1	59	left	no		L2
6670	1	59	right	no		L2
6670	1	139	left	no		L2
6670	1	139	right	no		L2
6670	1	219	left	no		L2
6670	1	219	right	no		L2
6670	2	322	left	no		L2
6670	2	322	right	no		L2
6670	2	402	left	no		L2
6670	2	402	right	no		L2
6670	2	482	left	no		L2
6670	2	482	right	no		L2
6714	1	59	left	no		L2
6714	1	59	right	no		L2
6714	1	139	left	no		L2
6714	1	139	right	no		L2
6714	1	219	left	no		L2
6714	1	219	right	no		L2
6714	2	322	left	no		L2
6714	2	322	right	no		L2
6714	2	402	left	no		L2
6714	2	402	right	no		L2
6714	2	482	left	no		L2
6714	2	482	right	no		L2
6715	1	59	left	no		L2
6715	1	59	right	no		L2
6715	1	139	left	no		L2
6715	1	139	right	no		L2
6715	1	219	left	no		L2
6715	1	219	right	no		L2
6715	2	322	left	no		L2
6715	2	322	right	no		L2
6715	2	402	left	no		L2
6715	2	402	right	no		L2
6715	2	482	left	no		L2
6715	2	482	right	no		L2
6716	1	59	left	no		L2
6716	1	59	right	no		L2
6716	1	139	left	no		L2
6716	1	139	right	no		L2
6716	1	219	left	no		L2
6716	1	219	right	no		L2
6716	2	322	left	no		L2
6716	2	322	right	no		L2
6716	2	402	left	no		L2
6716	2	402	right	no		L2
6716	2	482	left	no		L2
6716	2	482	right	no		L2
6717	1	59	left	no		L2
6717	1	59	right	no		L2
6717	1	139	left	no		L2
6717	1	139	right	no		L2
6717	1	219	left	no		L2
6717	1	219	right	no		L2
6717	2	322	left	no		L2
6717	2	322	right	no		L2
6717	2	402	left	no		L2
6717	2	402	right	no		L2
6717	2	482	left	no		L2
6717	2	482	right	no		L2
6760	1	59	left	no		L2
6760	1	59	right	no		L2
6760	1	139	left	no		L2
6760	1	139	right	no		L2
6760	1	219	left	no		L2
6760	1	219	right	no		L2
6760	2	322	left	no		L2
6760	2	322	right	no		L2
6760	2	402	left	no		L2
6760	2	402	right	no		L2
6760	2	482	left	no		L2
6760	2	482	right	no		L2
6761	1	59	left	no		L2
6761	1	59	right	no		L2
6761	1	139	left	no		L2
6761	1	139	right	no		L2
6761	1	219	left	no		L2
6761	1	219	right	no		L2
6761	2	322	left	no		L2
6761	2	322	right	no		L2
6761	2	402	left	no		L2
6761	2	402	right	no		L2
6761	2	482	left	no		L2
6761	2	482	right	no		L2
6762	1	59	left	no		L2
6762	1	59	right	no		L2
6762	1	139	left	no		L2
6762	1	139	right	no		L2
6762	1	219	left	no		L2
6762	1	219	right	no		L2
6762	2	322	left	no		L2
6762	2	322	right	no		L2
6762	2	402	left	no		L2
6762	2	402	right	no		L2
6762	2	482	left	no		L2
6762	2	482	right	no		L2
6763	1	59	left	no		L2
6763	1	59	right	no		L2
6763	1	139	left	no		L2
6763	1	139	right	no		L2
6763	1	219	left	no		L2
6763	1	219	right	no		L2
6763	2	322	left	no		L2
6763	2	322	right	no		L2
6763	2	402	left	no		L2
6763	2	402	right	no		L2
6763	2	482	left	no		L2
6763	2	482	right	no		L2
6807	1	59	left	no		L2
6807	1	59	right	no		L2
6807	1	139	left	no		L2
6807	1	139	right	no		L2
6807	1	219	left	no		L2
6807	1	219	right	no		L2
6807	2	322	left	no		L2
6807	2	322	right	no		L2
6807	2	402	left	no		L2
6807	2	402	right	no		L2
6807	2	482	left	no		L2
6807	2	482	right	no		L2
6808	1	59	left	no		L2
6808	1	59	right	no		L2
6808	1	139	left	no		L2
6808	1	139	right	no		L2
6808	1	219	left	no		L2
6808	1	219	right	no		L2
6808	2	322	left	no		L2
6808	2	322	right	no		L2
6808	2	402	left	no		L2
6808	2	402	right	no		L2
6808	2	482	left	no		L2
6808	2	482	right	no		L2
6809	1	59	left	no		L2
6809	1	59	right	no		L2
6809	1	139	left	no		L2
6809	1	139	right	no		L2
6809	1	219	left	no		L2
6809	1	219	right	no		L2
6809	2	322	left	no		L2
6809	2	322	right	no		L2
6809	2	402	left	no		L2
6809	2	402	right	no		L2
6809	2	482	left	no		L2
6809	2	482	right	no		L2
6810	1	59	left	no		L2
6810	1	59	right	no		L2
6810	1	139	left	no		L2
6810	1	139	right	no		L2
6810	1	219	left	no		L2
6810	1	219	right	no		L2
6810	2	322	left	no		L2
6810	2	322	right	no		L2
6810	2	402	left	no		L2
6810	2	402	right	no		L2
6810	2	482	left	no		L2
6810	2	482	right	no		L2
6902	1	59	left	no		L2
6902	1	59	right	no		L2
6902	1	139	left	no		L2
6902	1	139	right	no		L2
6902	1	219	left	no		L2
6902	1	219	right	no		L2
6902	2	322	left	no		L2
6902	2	322	right	no		L2
6902	2	402	left	no		L2
6902	2	402	right	no		L2
6902	2	482	left	no		L2
6902	2	482	right	no		L2
6903	1	59	left	no		L2
6903	1	59	right	no		L2
6903	1	139	left	no		L2
6903	1	139	right	no		L2
6903	1	219	left	no		L2
6903	1	219	right	no		L2
6903	2	322	left	no		L2
6903	2	322	right	no		L2
6903	2	402	left	no		L2
6903	2	402	right	no		L2
6903	2	482	left	no		L2
6903	2	482	right	no		L2
6904	1	59	left	no		L2
6904	1	59	right	no		L2
6904	1	139	left	no		L2
6904	1	139	right	no		L2
6904	1	219	left	no		L2
6904	1	219	right	no		L2
6904	2	322	left	no		L2
6904	2	322	right	no		L2
6904	2	402	left	no		L2
6904	2	402	right	no		L2
6904	2	482	left	no		L2
6904	2	482	right	no		L2
6905	1	59	left	no		L2
6905	1	59	right	no		L2
6905	1	139	left	no		L2
