counter	field	row_label	edge	identifiable	boundary_sample	failed_test
7043	1	59	left	no		L1
7043	1	59	right	no		L1
7043	1	139	left	no		L1
7043	1	139	right	no		L1
7043	1	219	left	no		L1
7043	1	219	right	no		L1
7043	2	322	left	no		L1
7043	2	322	right	no		L1
7043	2	402	left	no		L1
7043	2	402	right	no		L1
7043	2	482	left	no		L1
7043	2	482	right	no		L1
7044	1	59	left	no		L1
7044	1	59	right	no		L1
7044	1	139	left	no		L1
7044	1	139	right	no		L1
7044	1	219	left	no		L1
7044	1	219	right	no		L1
7044	2	322	left	no		L1
7044	2	322	right	no		L1
7044	2	402	left	no		L1
7044	2	402	right	no		L1
7044	2	482	left	no		L1
7044	2	482	right	no		L1
7045	1	59	left	no		L1
7045	1	59	right	no		L1
7045	1	139	left	no		L1
7045	1	139	right	no		L1
7045	1	219	left	no		L1
7045	1	219	right	no		L1
7045	2	322	left	no		L1
7045	2	322	right	no		L1
7045	2	402	left	no		L1
7045	2	402	right	no		L1
7045	2	482	left	no		L1
7045	2	482	right	no		L1
7046	1	59	left	no		L1
7046	1	59	right	no		L1
7046	1	139	left	no		L1
7046	1	139	right	no		L1
7046	1	219	left	no		L1
7046	1	219	right	no		L1
7046	2	322	left	no		L1
7046	2	322	right	no		L1
7046	2	402	left	no		L1
7046	2	402	right	no		L1
7046	2	482	left	no		L1
7046	2	482	right	no		L1
7112	1	59	left	no		L1
7112	1	59	right	no		L1
7112	1	139	left	no		L1
7112	1	139	right	no		L1
7112	1	219	left	no		L1
7112	1	219	right	no		L1
7112	2	322	left	no		L1
7112	2	322	right	no		L1
7112	2	402	left	no		L1
7112	2	402	right	no		L1
7112	2	482	left	no		L1
7112	2	482	right	no		L1
7113	1	59	left	no		L1
7113	1	59	right	no		L1
7113	1	139	left	no		L1
7113	1	139	right	no		L1
7113	1	219	left	no		L1
7113	1	219	right	no		L1
7113	2	322	left	no		L1
7113	2	322	right	no		L1
7113	2	402	left	no		L1
7113	2	402	right	no		L1
7113	2	482	left	no		L1
7113	2	482	right	no		L1
7114	1	59	left	no		L1
7114	1	59	right	no		L1
7114	1	139	left	no		L1
7114	1	139	right	no		L1
7114	1	219	left	no		L1
7114	1	219	right	no		L1
7114	2	322	left	no		L1
7114	2	322	right	no		L1
7114	2	402	left	no		L1
7114	2	402	right	no		L1
7114	2	482	left	no		L1
7114	2	482	right	no		L1
7115	1	59	left	no		L1
7115	1	59	right	no		L1
7115	1	139	left	no		L1
7115	1	139	right	no		L1
7115	1	219	left	no		L1
7115	1	219	right	no		L1
7115	2	322	left	no		L1
7115	2	322	right	no		L1
7115	2	402	left	no		L1
7115	2	402	right	no		L1
7115	2	482	left	no		L1
7115	2	482	right	no		L1
7166	1	59	left	no		L1
7166	1	59	right	no		L1
7166	1	139	left	no		L1
7166	1	139	right	no		L1
7166	1	219	left	no		L1
7166	1	219	right	no		L1
7166	2	322	left	no		L1
7166	2	322	right	no		L1
7166	2	402	left	no		L1
7166	2	402	right	no		L1
7166	2	482	left	no		L1
7166	2	482	right	no		L1
7167	1	59	left	no		L1
7167	1	59	right	no		L1
7167	1	139	left	no		L1
7167	1	139	right	no		L1
7167	1	219	left	no		L1
7167	1	219	right	no		L1
7167	2	322	left	no		L1
7167	2	322	right	no		L1
7167	2	402	left	no		L1
7167	2	402	right	no		L1
7167	2	482	left	no		L1
7167	2	482	right	no		L1
7168	1	59	left	no		L1
7168	1	59	right	no		L1
7168	1	139	left	no		L1
7168	1	139	right	no		L1
7168	1	219	left	no		L1
7168	1	219	right	no		L1
7168	2	322	left	no		L1
7168	2	322	right	no		L1
7168	2	402	left	no		L1
7168	2	402	right	no		L1
7168	2	482	left	no		L1
7168	2	482	right	no		L1
7169	1	59	left	no		L1
7169	1	59	right	no		L1
7169	1	139	left	no		L1
7169	1	139	right	no		L1
7169	1	219	left	no		L1
7169	1	219	right	no		L1
7169	2	322	left	no		L1
7169	2	322	right	no		L1
7169	2	402	left	no		L1
7169	2	402	right	no		L1
7169	2	482	left	no		L1
7169	2	482	right	no		L1
7171	1	59	left	no		L1
7171	1	59	right	no		L1
7171	1	139	left	no		L1
7171	1	139	right	no		L1
7171	1	219	left	no		L1
7171	1	219	right	no		L1
7171	2	322	left	no		L1
7171	2	322	right	no		L1
7171	2	402	left	no		L1
7171	2	402	right	no		L1
7171	2	482	left	no		L1
7171	2	482	right	no		L1
7172	1	59	left	no		L1
7172	1	59	right	no		L1
7172	1	139	left	no		L1
7172	1	139	right	no		L1
7172	1	219	left	no		L1
7172	1	219	right	no		L1
7172	2	322	left	no		L1
7172	2	322	right	no		L1
7172	2	402	left	no		L1
7172	2	402	right	no		L1
7172	2	482	left	no		L1
7172	2	482	right	no		L1
7173	1	59	left	no		L1
7173	1	59	right	no		L1
7173	1	139	left	no		L1
7173	1	139	right	no		L1
7173	1	219	left	no		L1
7173	1	219	right	no		L1
7173	2	322	left	no		L1
7173	2	322	right	no		L1
7173	2	402	left	no		L1
7173	2	402	right	no		L1
7173	2	482	left	no		L1
7173	2	482	right	no		L1
7174	1	59	left	no		L1
7174	1	59	right	no		L1
7174	1	139	left	no		L1
7174	1	139	right	no		L1
7174	1	219	left	no		L1
7174	1	219	right	no		L1
7174	2	322	left	no		L1
7174	2	322	right	no		L1
7174	2	402	left	no		L1
7174	2	402	right	no		L1
7174	2	482	left	no		L1
7174	2	482	right	no		L1
